VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,16,14,0,5,2,7.86
False,0,14,0,14,1,-0.14
False,0,9,0,5,2,-0.08999999
True,7,15,1,5,1,3.35
True,9,10,0,8,2,4.4
False,0,22,0,6,4,-0.22
True,8,10,0,5,1,3.9
True,16,6,0,4,2,7.94
False,0,23,0,8,5,-0.23
True,11,8,0,7,0,5.42
True,10,22,0,9,3,4.78
True,12,12,0,5,1,5.88
True,9,6,0,5,0,4.44
True,7,19,0,11,2,3.31
True,9,6,0,5,0,4.44
True,10,15,0,11,2,4.85
True,15,8,0,6,2,7.42
True,13,15,0,5,3,6.35
False,0,7,0,5,1,-0.06999999
True,15,6,1,4,1,7.44
True,7,6,0,5,1,3.44
True,8,11,0,7,2,3.89
True,7,13,0,5,2,3.37
False,0,14,0,7,3,-0.14
True,7,7,0,5,0,3.43
False,0,6,1,4,1,-0.05999999
True,16,8,0,7,1,7.92
True,7,12,0,7,1,3.38
True,11,17,0,10,2,5.33
True,7,10,0,7,1,3.4
False,0,17,0,5,3,-0.17
False,0,21,0,11,3,-0.31
True,20,5,0,4,2,9.95
True,10,15,0,10,1,4.85
False,0,14,2,5,1,-0.14
False,0,12,0,7,1,-0.12
False,0,13,0,4,2,-0.13
True,2,17,0,8,4,0.83
False,0,13,0,5,3,-0.13
True,1,16,0,8,4,0.34
True,11,20,0,5,3,5.3
False,0,14,0,6,2,-0.14
True,10,10,0,6,1,4.9
True,18,9,0,5,1,8.91
True,8,11,0,7,0,3.89
True,11,8,0,5,1,5.42
False,0,17,0,5,3,-0.17
True,7,6,2,4,1,3.44
True,2,19,1,7,3,0.81
True,16,11,0,5,2,7.89
True,13,8,1,4,1,6.42
True,17,13,0,6,2,8.37
True,13,5,0,4,0,6.45
False,0,20,0,8,1,-0.2
True,4,10,1,7,1,1.9
False,0,15,0,14,1,-0.15
True,5,14,0,8,2,2.36
False,0,6,0,4,1,-0.05999999
True,13,6,0,5,0,6.44
False,0,19,0,7,2,-0.19
True,6,25,0,15,2,2.75
True,15,8,0,6,2,7.42
True,11,8,0,7,0,5.42
False,0,10,0,5,2,-0.09999999
True,13,30,0,7,5,6.2
True,16,10,0,5,1,7.9
False,0,12,0,6,1,-0.12
False,0,6,0,4,1,-0.05999999
True,6,19,1,9,3,2.81
