VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,18,0,5,1,-0.18
True,5,15,0,14,1,2.36
True,1,10,0,6,1,0.41
False,0,14,2,6,1,-0.14
False,0,19,0,7,1,-0.19
True,4,24,0,7,0,1.77
False,0,15,0,4,1,-0.15
False,0,5,0,4,0,-0.05
True,4,28,0,13,1,1.73
False,0,21,0,6,4,-0.4099999
False,0,29,0,11,1,-0.29
False,0,11,0,5,1,-0.11
False,0,5,0,5,1,-0.05
False,0,20,0,11,1,-0.2
False,0,7,0,4,0,-0.06999999
False,0,25,0,10,1,-0.25
False,0,12,0,5,1,-0.12
False,0,18,0,6,1,-0.18
True,6,11,0,6,1,2.9
False,0,5,0,4,0,-0.05
False,0,8,0,4,1,-0.07999999
False,0,11,0,6,1,-0.11
False,0,16,0,4,1,-0.16
True,12,24,0,10,2,5.77
False,0,6,0,5,1,-0.05999999
True,13,7,1,4,2,6.44
False,0,7,0,6,0,-0.06999999
False,0,12,0,6,1,-0.12
False,0,16,0,10,2,-0.16
False,0,13,0,7,1,-0.13
True,10,19,0,7,2,4.82
True,1,21,0,13,2,-14.10004
False,0,8,0,3,0,-0.07999999
False,0,14,0,10,1,-0.14
True,14,14,0,8,2,6.87
True,5,13,0,8,1,2.38
True,18,20,0,7,2,8.81
False,0,19,0,8,1,-0.19
True,13,13,0,7,2,6.38
False,0,19,0,7,1,-0.3699999
False,0,22,0,5,1,-0.22
True,4,16,0,7,2,1.75
False,0,9,0,5,0,-0.08999999
False,0,8,0,5,1,-0.07999999
False,0,10,0,6,1,-0.09999999
False,0,7,0,4,1,-0.06999999
True,2,18,0,8,2,0.73
False,0,5,0,3,2,-0.05
False,0,25,1,9,1,-0.25
False,0,10,0,5,1,-0.09999999
False,0,7,0,3,1,-0.06999999
False,0,15,0,6,1,-0.15
False,0,5,0,3,0,-0.05
True,1,20,0,8,1,0.31
False,0,12,0,8,1,-0.12
True,9,19,0,14,2,4.32
False,0,22,0,7,2,-0.3199999
True,11,6,0,4,1,5.45
False,0,6,0,5,1,-0.05999999
True,5,21,0,8,3,2.2
False,0,30,0,17,1,-0.3
False,0,7,0,6,1,-0.06999999
False,0,10,0,6,0,-0.09999999
True,11,10,0,6,1,5.41
False,0,52,0,7,72,-7.320012
False,0,10,0,5,1,-0.09999999
True,6,13,0,6,1,2.79
True,12,8,0,5,1,5.93
False,0,20,0,10,3,-0.3
True,10,13,0,5,1,4.88
False,0,22,0,14,1,-0.22
False,0,13,0,4,0,-0.13
True,17,16,0,7,3,8.35
True,11,9,0,6,1,5.42
True,9,11,0,6,2,4.4
False,0,22,0,11,2,-0.22
True,9,9,0,6,1,4.42
False,0,8,0,5,1,-0.07999999
True,5,20,0,8,2,2.31
False,0,5,0,4,1,-0.05
False,0,7,0,4,0,-0.06999999
False,0,12,0,5,1,-0.12
True,13,15,0,6,1,6.36
True,15,13,0,4,1,7.38
False,0,15,0,7,1,-0.15
False,0,18,0,8,3,-0.18
False,0,16,0,7,1,-0.16
False,0,22,0,14,4,-0.22
False,0,7,0,4,0,-0.06999999
True,14,14,0,7,3,6.87
True,19,6,0,4,1,9.45
False,0,19,0,9,2,-0.28
False,0,13,0,5,1,-0.13
True,5,13,0,5,0,2.38
False,0,19,0,8,2,-0.19
True,3,28,0,9,5,1.13
False,0,9,0,5,1,-0.08999999
False,0,21,0,7,1,-0.21
False,0,7,0,6,0,-0.06999999
True,10,21,0,6,1,4.8
False,0,14,0,5,1,-0.14
False,0,27,0,7,2,-0.27
False,0,28,0,5,1,-0.4699999
False,0,16,0,5,1,-0.16
False,0,31,0,9,2,-0.31
True,13,17,0,6,2,6.34
True,20,28,0,8,5,9.73
True,17,10,3,3,1,8.41
True,6,31,0,9,4,2.42
True,8,24,0,9,1,3.77
False,0,3,0,3,0,-0.03
True,4,17,0,6,1,1.84
False,0,42,0,4,1,-0.4199999
False,0,16,0,5,1,-0.16
False,0,32,0,4,1,-0.32
True,7,7,0,6,1,3.44
True,3,24,0,11,2,1.27
True,3,11,0,7,1,1.4
False,0,10,0,9,1,-0.09999999
True,5,30,0,7,1,2.21
True,5,18,1,7,1,2.33
False,0,8,0,4,0,-0.07999999
False,0,10,0,7,0,-0.09999999
False,0,7,0,5,1,-0.06999999
False,0,19,0,9,2,-0.19
False,0,18,0,5,1,-0.27
False,0,18,0,9,2,-0.28
False,0,5,0,4,1,-0.05
False,0,14,0,5,2,-0.14
False,0,13,0,5,0,-0.13
False,0,6,0,5,1,-0.05999999
True,3,9,0,4,1,1.42
False,0,10,0,6,1,-0.09999999
True,6,14,0,7,1,2.78
False,0,8,0,5,1,-0.07999999
False,0,9,0,5,0,-0.08999999
False,0,12,0,7,1,-0.12
False,0,10,0,7,1,-0.09999999
False,0,14,0,7,1,-0.14
True,5,22,0,8,2,2.29
True,5,10,0,6,1,2.41
True,4,14,0,8,1,1.87
False,0,9,0,4,1,-0.08999999
False,0,17,0,9,0,-0.17
False,0,10,0,6,0,-0.09999999
True,7,16,0,6,1,3.35
True,7,16,0,9,1,3.35
True,17,8,0,4,1,8.43
False,0,7,0,5,1,-0.06999999
False,0,13,0,6,1,-0.13
False,0,8,0,7,0,-0.07999999
True,13,16,0,8,2,6.35
False,0,12,0,7,1,-0.12
False,0,25,0,11,3,-0.25
False,0,16,0,7,2,-0.26
False,0,47,0,21,2,-0.4699998
False,0,7,0,4,0,-0.06999999
True,8,21,0,7,4,3.6
False,0,39,0,20,13,-1.49
True,6,110,0,5,1,-6.010019
False,0,13,0,8,1,-0.13
False,0,23,0,11,3,-0.23
False,0,24,3,7,2,-0.24
True,15,23,0,10,3,7.28
False,0,8,0,4,1,-0.07999999
True,6,6,0,4,1,2.95
False,0,16,0,6,3,-0.16
False,0,28,0,15,1,-0.28
True,19,21,0,7,6,9.2
False,0,18,0,8,1,-0.27
False,0,15,0,7,1,-0.15
False,0,12,0,6,1,-0.12
True,18,23,0,8,4,8.78
False,0,12,0,7,0,-0.12
True,1,24,0,6,2,-0.009999862
True,2,21,0,11,4,0.7
False,0,35,0,6,3,-0.9799997
True,14,10,0,7,2,6.91
True,11,26,0,9,2,5.25
False,0,16,0,10,0,-0.16
True,10,16,0,8,3,4.75
True,5,31,0,8,1,2.11
True,10,20,0,5,3,4.81
False,0,4,0,4,0,-0.04
True,7,23,0,8,1,3.28
False,0,19,0,4,1,-0.28
True,7,13,0,7,2,3.38
True,11,8,0,8,1,5.43
False,0,10,0,5,0,-0.09999999
True,5,14,0,5,2,2.27
True,17,18,0,7,3,8.33
True,11,14,0,7,1,5.37
False,0,14,0,10,1,-0.14
False,0,9,0,5,1,-0.08999999
False,0,42,0,13,1,-0.4199999
False,0,13,0,7,2,-0.23
False,0,20,0,9,1,-0.2
False,0,23,0,8,1,-0.23
True,9,17,0,6,1,4.34
True,7,22,0,9,1,3.29
True,13,16,0,6,1,6.35
True,6,38,0,11,3,2.53
False,0,5,0,4,0,-0.05
False,0,4,0,3,0,-0.04
True,6,10,0,5,1,2.91
False,0,6,0,4,0,-0.05999999
True,2,17,1,7,1,0.84
False,0,41,0,9,1,-0.4099999
False,0,11,0,10,0,-0.11
False,0,13,0,5,1,-0.13
True,15,6,0,5,1,7.45
True,20,13,0,6,2,9.88
False,0,13,0,7,0,-0.13
True,4,10,0,5,1,1.91
