VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,1,20,0,10,2,0.3
False,0,17,0,6,1,-0.17
False,0,24,5,6,2,-0.24
False,0,6,1,1,1,-0.05999999
True,12,23,2,4,3,5.77
False,0,12,0,4,1,-0.12
True,2,44,2,10,2,0.5600002
False,0,18,0,3,1,-0.18
False,0,15,0,5,2,-0.15
False,0,9,0,5,2,-0.08999999
False,0,6,2,3,1,-0.05999999
False,0,19,2,3,1,-0.19
True,2,25,1,7,3,0.75
True,10,14,0,6,0,4.86
True,2,36,2,10,1,0.6400001
True,9,17,2,4,3,4.33
True,16,24,0,7,0,7.76
False,0,11,2,2,1,-0.11
False,0,15,3,4,1,-0.15
False,0,16,3,4,2,-0.16
True,6,17,0,8,3,2.83
True,19,21,3,3,5,9.29
False,0,13,1,5,1,-0.13
True,15,18,0,8,2,7.32
True,7,10,0,5,2,3.4
False,0,20,0,8,3,-0.2
False,0,5,3,0,0,-0.05
False,0,17,2,1,1,-0.17
False,0,23,0,8,5,-0.23
True,11,36,1,8,2,5.14
False,0,16,0,3,2,-0.16
True,14,8,0,5,1,6.92
False,0,12,0,7,2,-0.12
False,0,31,1,4,5,-0.31
True,10,19,0,7,1,4.81
False,0,20,1,7,3,-0.2
False,0,21,0,4,4,-0.21
True,1,17,0,6,3,0.33
False,0,18,0,15,1,-0.18
False,0,22,5,1,3,-0.22
True,18,11,0,5,2,8.89
False,0,27,1,8,2,-0.27
False,0,12,0,4,1,-0.12
False,0,12,0,7,0,-0.12
True,3,45,4,10,1,1.05
True,5,17,4,6,2,2.33
True,8,6,0,5,0,3.94
True,7,33,2,13,2,3.17
False,0,19,4,3,2,-0.19
False,0,9,1,5,1,-0.08999999
False,0,25,3,0,2,-0.25
False,0,11,1,7,1,-0.11
False,0,26,0,9,0,-0.26
False,0,13,0,8,1,-0.13
True,10,22,0,5,1,4.78
True,5,17,1,7,2,2.33
False,0,16,0,5,3,-0.16
False,0,29,1,7,2,-0.29
True,13,11,0,5,1,6.39
True,10,11,2,3,3,4.89
True,18,17,0,5,2,8.83
True,11,51,2,10,4,4.99
True,7,19,0,9,1,3.31
False,0,21,0,13,2,-0.21
False,0,26,1,7,2,-0.26
False,0,24,6,2,3,-0.24
False,0,12,2,3,1,-0.12
True,8,36,3,4,2,3.64
True,4,11,2,5,2,1.89
False,0,10,0,6,2,-0.09999999
False,0,32,1,6,6,-0.32
True,9,24,0,7,2,4.26
False,0,13,3,4,1,-0.13
False,0,8,0,4,0,-0.07999999
True,2,18,1,4,4,0.82
False,0,19,1,6,2,-0.19
False,0,58,0,8,5,-0.5799997
False,0,18,0,10,2,-0.18
True,9,31,2,7,0,4.19
True,2,24,0,6,3,0.76
True,8,22,7,1,1,3.78
True,17,18,3,3,2,8.32
True,14,13,0,6,1,6.87
False,0,36,4,3,3,-0.3599999
True,7,17,0,9,1,3.33
True,5,19,1,6,3,2.31
True,9,20,0,6,1,4.3
