VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,22,0,9,2,-0.22
True,4,19,0,4,4,1.82
True,3,25,4,2,6,1.26
True,14,6,4,1,1,6.95
False,0,24,2,1,4,-0.24
True,15,15,0,5,1,7.18
False,0,54,2,5,5,-0.5399998
True,7,21,0,5,0,3.3
True,11,56,0,5,1,4.95
True,16,10,0,5,1,7.91
True,3,6,2,3,0,1.45
True,6,27,4,5,1,2.65
False,0,26,2,4,2,-0.3499999
False,0,14,0,5,2,-0.14
False,0,39,2,10,4,-0.4799998
False,0,17,2,2,1,-0.17
False,0,23,0,5,2,-0.23
True,17,14,2,3,2,8.37
True,10,15,3,3,1,4.86
True,20,16,2,3,5,9.85
False,0,17,0,5,1,-0.17
False,0,22,2,1,2,-0.31
True,3,15,0,5,3,1.36
False,0,18,0,6,1,-0.27
False,0,13,0,4,1,-0.31
True,3,25,0,4,3,1.26
True,15,114,4,0,1,-3.350024
True,12,17,6,0,2,5.84
True,9,26,0,8,2,4.25
False,0,39,1,3,4,-0.4799998
True,10,20,0,4,1,4.72
False,0,8,0,4,1,-0.07999999
True,19,14,0,6,2,9.37
True,15,33,0,4,6,7.08
False,0,18,0,6,2,-0.18
True,7,20,0,7,4,3.31
True,6,23,0,4,1,2.6
False,0,17,0,5,2,-0.17
True,3,20,0,15,1,1.31
True,6,24,7,1,2,2.77
False,0,10,0,4,1,-0.09999999
True,4,45,1,9,4,1.56
True,12,12,0,5,1,5.89
True,6,12,0,7,1,2.89
False,0,51,3,6,3,-0.5099998
False,0,18,4,5,3,-0.18
False,0,5,0,4,0,-0.05
False,0,33,2,10,2,-0.33
True,7,21,5,2,5,3.3
True,18,9,1,5,1,8.92
True,8,25,6,1,1,3.76
True,5,11,2,8,1,2.4
True,11,31,0,9,2,5.2
True,8,13,0,8,2,3.88
False,0,22,0,3,1,-0.22
False,0,16,1,6,3,-0.16
True,7,19,0,6,2,3.32
True,2,30,0,5,6,0.71
False,0,11,0,4,1,-0.11
False,0,11,1,3,1,-0.11
False,0,17,0,5,1,-0.17
False,0,57,2,5,5,-0.5699998
False,0,18,0,6,3,-0.18
True,6,25,0,12,2,2.76
True,1,29,1,6,3,0.22
True,4,25,5,0,4,1.67
True,17,12,2,3,3,8.39
False,0,35,4,3,1,-0.3499999
False,0,12,1,3,2,-0.3
True,10,12,0,6,1,4.89
True,12,36,1,6,4,5.47
False,0,25,0,6,2,-0.4299999
True,5,16,3,3,1,2.17
True,9,10,0,4,1,4.41
False,0,17,1,4,1,-0.17
True,3,19,0,6,2,1.32
True,7,61,0,8,4,2.81
True,14,33,0,8,3,6.68
False,0,33,2,3,3,-0.4199999
False,0,26,1,3,2,-0.26
False,0,21,6,0,2,-0.21
False,0,18,3,2,2,-0.18
False,0,13,0,4,2,-0.13
True,8,51,7,4,3,3.5
False,0,16,0,7,2,-0.16
False,0,20,3,7,1,-0.2
False,0,22,1,3,3,-0.31
False,0,7,0,3,0,-0.06999999
True,16,26,2,4,4,7.75
True,10,27,4,2,3,4.65
True,10,19,0,5,2,4.73
True,10,28,0,7,2,4.73
False,0,8,0,3,0,-0.07999999
False,0,26,0,5,2,-0.26
True,7,16,0,6,1,3.35
