VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,11,10,4,1,1,5.4
False,0,59,5,5,2,-0.59
True,3,28,5,2,2,1.22
True,20,25,1,6,2,9.75
False,0,26,4,1,1,-0.26
True,17,26,4,2,3,8.24
True,9,40,2,4,2,4.1
False,0,22,1,1,1,-0.22
False,0,39,2,0,2,-0.39
True,18,6,4,0,1,8.94
True,9,35,3,6,2,4.15
True,15,5,2,1,1,7.45
True,5,7,6,0,1,2.43
False,0,19,3,0,3,-0.19
False,0,25,4,1,1,-0.25
True,1,60,3,8,2,-0.1
False,0,27,3,2,2,-0.27
False,0,88,2,4,4,-0.88
True,5,18,5,2,3,2.32
False,0,32,2,6,1,-0.32
True,10,21,2,3,2,4.79
False,0,26,2,1,1,-0.26
True,8,37,8,5,1,3.63
True,11,24,2,4,2,5.26
True,2,36,4,4,1,0.64
False,0,34,3,3,4,-0.34
False,0,13,3,0,1,-0.13
False,0,46,4,3,1,-0.46
True,1,68,4,4,2,-0.18
True,7,16,4,2,3,3.34
True,9,17,5,2,2,4.33
False,0,29,2,3,2,-0.29
True,9,23,4,2,2,4.27
True,20,16,4,4,0,9.84
False,0,17,3,1,0,-0.17
False,0,16,3,1,2,-0.16
False,0,35,5,1,2,-0.35
True,14,33,1,6,2,6.67
True,15,24,3,5,1,7.26
False,0,26,4,0,2,-0.26
True,3,35,4,4,1,1.15
False,0,22,3,2,3,-0.22
True,8,28,5,4,3,3.72
False,0,30,3,3,2,-0.3
False,0,31,1,0,2,-0.31
True,12,31,3,4,1,5.69
False,0,35,3,5,3,-0.35
False,0,40,3,4,1,-0.4
False,0,36,2,1,1,-0.36
False,0,28,5,2,2,-0.28
True,5,24,4,2,1,2.26
True,18,26,3,5,3,8.74
False,0,28,5,2,2,-0.28
False,0,28,2,4,4,-0.28
False,0,45,5,1,3,-0.45
False,0,28,4,1,1,-0.28
True,3,28,2,4,2,1.22
False,0,14,2,0,1,-0.14
True,16,18,3,3,1,7.82
True,2,52,4,4,0,0.48
True,8,33,6,2,2,3.67
True,12,30,5,2,0,5.7
False,0,18,3,3,2,-0.18
False,0,31,3,0,2,-0.31
False,0,29,2,2,3,-0.29
True,18,13,4,0,1,8.87
False,0,8,3,2,1,-0.08
