VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,10,3,0,1,-0.19
True,2,64,5,0,4,0.28
False,0,30,5,0,2,-0.3
False,0,24,0,0,3,-0.24
True,6,27,5,0,2,2.74
False,0,27,3,0,3,-0.27
False,0,39,3,0,1,-0.39
True,20,25,5,0,2,9.67
True,14,39,5,0,1,6.62
False,0,5,3,0,0,-0.05
False,0,38,4,0,3,-0.38
False,0,7,2,0,0,-0.34
False,0,9,4,0,1,-0.09
True,8,21,6,0,1,3.8
True,9,26,5,0,3,4.25
False,0,60,4,0,2,-0.6
True,9,28,5,0,3,4.23
True,2,91,4,0,1,0.1
False,0,17,6,1,2,-0.17
True,10,33,3,2,4,4.68
False,0,20,2,0,1,-0.2
True,17,27,4,0,2,8.24
False,0,44,9,0,8,-0.44
False,0,25,1,2,2,-0.25
False,0,38,4,0,2,-0.38
True,6,37,6,0,3,2.64
True,10,13,5,0,1,4.88
True,2,48,5,0,2,0.53
False,0,69,4,1,3,-0.69
False,0,17,4,0,1,-0.17
False,0,16,4,0,3,-0.16
True,11,31,6,0,4,5.2
False,0,22,4,0,2,-0.22
False,0,15,0,0,3,-0.15
True,12,17,5,0,2,5.84
True,6,16,5,0,0,2.85
True,9,40,9,0,1,3.93
False,0,33,2,0,3,-0.33
False,0,25,2,0,4,-0.25
True,3,26,7,0,1,1.25
False,0,35,5,1,2,-0.35
True,1,22,5,1,1,0.29
False,0,30,4,1,4,-0.39
True,12,31,5,1,2,5.7
True,20,33,5,0,1,9.68
False,0,32,2,0,3,-0.32
True,2,37,4,0,1,0.64
True,11,43,5,0,5,5.08
True,15,38,5,0,1,7.13
True,6,29,5,0,3,2.72
False,0,23,3,0,1,-0.23
False,0,25,1,0,3,-0.25
True,4,46,7,0,3,-0.07
True,4,29,4,0,2,1.72
True,2,47,6,0,1,0.54
True,4,32,6,0,1,1.69
False,0,31,3,1,1,-0.31
True,10,14,5,0,0,4.87
False,0,17,2,0,2,-0.17
False,0,54,4,0,1,-0.63
False,0,32,8,0,2,-0.32
False,0,30,5,0,2,-0.3
True,11,20,4,1,4,5.22
True,11,31,5,0,1,5.2
True,17,30,8,0,2,8.21
False,0,12,3,0,0,-0.12
True,14,8,5,0,2,6.93
True,9,36,4,0,3,4.15
False,0,24,3,0,1,-0.24
True,8,20,5,0,1,3.81
False,0,23,3,1,1,-0.23
True,3,14,6,0,2,1.37
False,0,31,5,0,2,-0.31
False,0,53,8,0,1,-0.53
True,16,40,5,0,4,7.61
True,17,28,5,0,1,8.23
True,17,54,5,0,1,7.97
True,9,32,6,0,1,4.19
True,4,28,7,0,2,1.64
True,6,32,7,0,1,2.69
True,16,50,5,0,3,4.9
False,0,72,2,1,2,-1.35
True,10,31,3,3,2,4.61
False,0,10,3,0,3,-0.1
False,0,80,2,0,2,-0.8
True,5,29,5,0,2,2.22
False,0,56,0,0,1,-0.65
True,18,46,4,1,6,8.55
False,0,14,3,0,2,-0.14
True,3,27,6,0,2,1.24
False,0,101,3,0,3,-1.01
True,2,54,5,0,1,0.29
True,11,20,6,0,2,5.31
False,0,8,4,0,0,-0.17
False,0,39,5,0,3,-0.39
False,0,38,3,1,1,-0.38
False,0,62,4,0,1,-0.62
True,15,21,4,0,1,7.21
False,0,30,5,0,3,-0.3
False,0,39,4,0,1,-0.39
True,1,27,5,0,1,0.06
False,0,19,3,0,1,-0.19
True,1,27,4,0,2,0.24
True,3,5,4,0,0,1.46
False,0,135,1,1,2,-1.35
False,0,28,0,3,1,-0.28
True,14,24,4,0,2,6.77
True,4,70,4,0,1,1.22
False,0,13,4,0,1,-0.13
False,0,66,2,1,2,-0.66
True,1,61,5,0,2,-0.1
True,5,28,4,0,1,2.23
True,11,42,4,0,3,5.09
False,0,16,3,1,1,-0.16
True,20,20,5,0,4,9.81
False,0,42,4,0,1,-0.42
True,13,111,4,1,2,0
False,0,44,4,0,2,-0.62
False,0,56,2,0,3,-0.56
False,0,20,3,1,1,-0.2
True,12,54,4,0,1,5.2
True,7,35,4,1,1,3.16
False,0,31,8,0,2,-0.31
True,3,29,7,0,1,1.22
True,3,17,3,0,1,1.34
True,16,25,4,0,1,7.76
True,5,6,5,0,1,2.45
True,4,11,5,0,1,1.9
False,0,30,7,0,3,-0.39
True,5,31,5,0,2,2.2
False,0,39,0,2,1,-0.39
True,11,35,6,0,4,5.16
False,0,37,2,0,1,-0.37
False,0,27,1,0,3,-0.27
True,13,26,8,0,3,6.25
False,0,58,3,0,1,-1.12
False,0,17,4,0,1,-0.17
False,0,70,3,0,1,-0.7
False,0,56,4,0,2,-0.56
True,9,27,5,0,4,4.24
True,10,42,4,0,3,4.59
True,10,27,5,0,2,4.65
True,1,33,6,0,1,0.18
False,0,30,2,0,3,-0.3
False,0,24,5,0,1,-0.24
False,0,39,3,0,2,-0.48
True,11,30,6,0,2,5.21
False,0,34,4,0,2,-0.34
True,3,9,6,0,1,1.42
True,12,33,4,0,1,5.68
False,0,33,3,1,2,-0.33
True,4,23,6,0,1,1.78
True,2,38,5,0,1,0.63
True,20,28,5,0,1,9.73
True,3,37,5,0,3,1.14
False,0,80,2,1,3,-0.8
True,11,48,4,1,3,5.03
False,0,26,2,0,2,-0.26
True,9,27,6,0,5,4.24
True,7,6,4,0,1,3.45
False,0,7,3,0,1,-0.07
True,9,15,6,0,1,4.36
False,0,45,1,0,3,-0.45
False,0,35,3,0,1,-0.35
False,0,38,4,0,3,-0.38
True,13,40,5,0,2,6.11
False,0,9,4,0,1,-0.09
False,0,3,2,0,0,-0.03
False,0,30,7,0,2,-0.3
True,2,99,6,0,2,0.02
True,4,31,4,0,2,1.61
False,0,31,1,1,2,-0.31
False,0,20,3,0,2,-0.2
True,9,8,6,0,1,4.43
False,0,16,7,0,1,-0.16
True,9,44,4,0,1,4.07
False,0,33,9,0,2,-0.33
False,0,15,7,0,1,-0.15
False,0,29,5,0,4,-0.29
False,0,16,5,0,1,-0.16
True,11,78,5,2,5,4.64
False,0,27,4,0,1,-0.27
False,0,19,5,0,1,-0.28
False,0,27,1,1,2,-0.36
False,0,25,4,1,1,-0.25
True,2,18,7,0,1,0.83
False,0,22,4,0,1,-0.22
False,0,42,6,1,3,-0.42
False,0,26,4,0,5,-0.26
False,0,50,3,0,4,-0.77
True,9,34,6,0,3,4.17
False,0,52,2,0,5,-0.52
False,0,56,0,3,1,-0.56
False,0,21,2,0,4,-0.21
True,2,42,6,1,1,0.5
False,0,27,2,0,1,-0.27
False,0,49,10,0,1,-0.49
True,20,19,4,0,2,9.82
False,0,31,6,0,1,-0.31
False,0,31,3,1,1,-0.31
False,0,29,6,0,3,-0.29
False,0,40,1,2,2,-0.4
False,0,186,5,0,2,-16.08
False,0,24,3,0,1,-0.33
True,9,28,7,0,3,4.23
False,0,9,3,0,1,-0.09
False,0,32,3,0,2,-0.32
True,5,43,5,0,1,2.08
True,5,23,7,0,5,2.28
True,16,17,5,0,1,7.84
True,3,19,6,0,2,1.32
True,14,48,4,0,3,6.53
False,0,15,2,0,1,-0.15
True,12,41,4,1,2,5.6
False,0,26,3,0,4,-0.62
True,6,15,6,0,1,2.86
False,0,63,2,0,2,-0.63
True,8,16,4,1,2,3.85
False,0,22,2,0,1,-0.22
False,0,15,3,0,1,-0.15
True,11,45,5,0,3,4.97
True,11,60,6,0,4,4.91
True,6,36,7,0,1,2.65
False,0,14,4,0,2,-0.14
True,14,11,5,0,1,6.9
True,10,27,4,0,1,4.74
False,0,86,2,0,2,-0.86
False,0,35,2,0,2,-0.35
False,0,31,6,0,2,-0.94
False,0,4,2,0,0,-0.04
True,7,18,5,1,2,3.33
True,5,45,5,0,3,2.06
True,12,34,6,0,4,5.67
False,0,41,0,0,2,-0.41
False,0,18,4,0,4,-0.18
True,9,26,5,0,2,4.25
False,0,32,5,0,3,-0.41
True,2,105,4,1,1,-0.04
True,9,15,3,0,1,4.36
True,10,37,4,0,1,4.64
True,8,99,5,0,5,3.02
False,0,27,2,0,1,-0.27
True,5,17,4,0,3,2.34
False,0,71,4,0,2,-0.71
True,9,47,4,1,1,4.04
True,16,35,8,0,2,7.66
False,0,34,3,0,2,-0.34
True,2,137,4,1,3,-0.36
True,7,36,6,0,3,3.15
False,0,13,3,0,1,-0.13
True,13,18,4,0,2,6.33
False,0,42,1,0,1,-0.42
True,4,41,6,0,3,1.6
False,0,41,0,0,2,-0.41
False,0,44,2,0,2,-0.53
True,14,36,6,0,2,6.47
False,0,42,5,0,3,-0.42
True,3,38,6,1,1,1.13
True,6,24,5,0,2,2.77
False,0,50,4,0,4,-0.77
False,0,53,2,0,2,-0.53
True,3,64,4,1,3,0.87
False,0,22,4,0,3,-0.22
False,0,54,4,1,4,-0.54
True,11,38,5,2,3,5.13
False,0,72,2,0,1,-0.72
False,0,36,6,0,3,-0.36
False,0,24,1,0,3,-0.24
True,5,18,6,0,1,2.33
True,9,28,5,0,5,4.23
True,12,74,6,1,3,5
False,0,10,2,0,1,-0.1
True,9,6,5,0,1,4.45
True,3,14,4,1,2,1.37
True,8,47,5,0,1,3.54
False,0,19,4,0,2,-0.19
False,0,10,5,0,1,-0.1
False,0,29,2,0,2,-0.38
False,0,78,3,0,2,-5.55
True,3,15,4,0,2,1.36
True,9,11,3,0,0,4.4
False,0,23,1,0,2,-0.23
True,4,44,5,0,2,1.57
True,16,33,4,0,2,7.68
True,7,26,6,0,4,3.25
False,0,25,3,0,2,-0.34
False,0,46,4,0,1,-0.46
True,5,32,8,1,3,2.19
False,0,21,3,0,2,-0.21
True,7,23,6,0,1,3.28
False,0,10,5,0,2,-0.1
True,18,70,6,0,1,8.31
False,0,51,3,0,1,-0.69
True,9,38,6,0,1,4.04
False,0,32,1,1,3,-0.32
False,0,51,5,0,4,-0.69
False,0,32,4,0,4,-0.32
False,0,44,2,0,3,-0.44
False,0,40,8,0,2,-0.4
False,0,93,3,0,1,-7.59
True,10,58,3,1,3,4.43
False,0,7,2,0,0,-0.07
True,5,32,8,1,3,2.19
True,11,40,5,0,2,5.11
True,10,35,4,0,1,4.57
True,4,27,7,0,2,1.74
True,1,49,5,0,6,0.02
False,0,10,5,0,1,-0.1
True,4,19,4,0,1,1.82
True,11,35,7,1,3,5.16
False,0,20,4,0,3,-0.2
False,0,27,2,0,2,-0.27
False,0,9,5,0,2,-0.09
True,7,57,4,1,2,2.94
True,8,43,4,1,6,3.58
True,5,26,6,0,2,2.25
True,8,36,5,1,2,3.65
True,7,25,6,0,2,3.26
False,0,31,7,0,1,-0.31
True,1,29,7,0,3,0.22
False,0,14,4,0,1,-0.14
False,0,30,8,0,3,-0.3
True,12,35,4,1,3,5.66
False,0,23,4,0,2,-0.23
False,0,38,4,1,3,-0.38
False,0,42,6,0,2,-0.42
False,0,21,2,0,1,-0.21
False,0,63,0,0,1,-0.63
False,0,82,1,0,2,-0.91
False,0,26,6,0,2,-0.26
True,2,19,7,0,1,0.82
False,0,34,4,1,1,-0.43
True,14,24,4,0,2,6.68
True,5,46,5,0,2,2.05
True,17,13,4,0,2,8.38
False,0,50,4,0,4,-0.5
True,6,19,5,0,1,2.82
True,10,19,5,0,1,4.82
False,0,16,5,0,2,-0.16
False,0,84,3,0,1,-0.84
False,0,26,3,0,2,-0.26
True,14,6,5,0,1,6.95
False,0,57,1,0,1,-0.57
True,4,77,8,0,1,1.24
True,10,23,4,0,1,4.78
True,4,27,7,0,1,1.74
True,10,40,6,0,3,4.61
False,0,71,1,1,1,-0.71
True,15,22,7,0,7,7.29
False,0,38,2,0,2,-0.38
False,0,19,0,0,1,-0.19
False,0,25,4,0,1,-0.25
False,0,9,3,0,0,-0.09
True,9,79,5,1,1,3.63
True,12,13,4,0,1,5.7
True,10,27,6,0,2,4.65
False,0,22,2,0,1,-0.22
True,10,24,6,1,1,4.77
False,0,60,3,0,2,-0.6
False,0,21,4,0,1,-0.21
True,7,37,3,0,4,3.14
True,1,57,5,0,5,-0.06
True,3,32,5,0,3,1.19
True,9,13,6,0,1,4.38
True,9,1036,5,1,6,-94.98
False,0,14,3,0,1,-0.14
True,6,15,6,0,2,2.86
True,17,8,4,0,1,8.43
True,1,19,10,0,1,0.23
False,0,46,4,0,1,-0.46
False,0,39,4,0,3,-0.75
True,2,8,4,0,1,0.93
True,5,30,5,1,1,2.21
False,0,125,4,1,7,-1.25
True,5,12,4,0,1,2.39
False,0,17,3,0,1,-0.44
True,4,50,6,0,3,1.42
True,8,22,5,2,1,3.79
True,4,40,6,0,2,1.52
True,7,45,8,2,5,3.06
True,17,29,5,0,3,7.77
True,12,53,6,0,3,5.3
True,1,10,5,0,2,0.41
True,15,45,5,0,4,7.06
True,4,34,6,0,1,1.67
True,4,29,8,0,4,1.72
False,0,18,9,0,1,-0.18
True,11,22,5,0,2,5.29
False,0,94,1,0,3,-1.03
True,11,34,6,0,5,5.17
False,0,41,3,1,3,-1.67
True,12,20,6,1,1,5.81
False,0,16,3,1,1,-0.25
False,0,34,4,0,4,-0.43
False,0,21,5,1,1,-0.21
True,7,62,6,0,3,2.89
True,6,64,6,0,1,2.37
True,2,26,5,0,2,0.75
True,10,34,4,0,1,4.67
False,0,59,3,0,2,-0.59
False,0,32,5,0,2,-0.86
False,0,25,4,1,3,-0.25
True,5,35,5,0,2,2.07
False,0,27,3,1,3,-0.27
False,0,20,3,0,2,-0.2
False,0,28,5,1,1,-0.28
True,11,25,5,0,1,5.26
False,0,75,4,0,1,-0.75
True,5,21,6,0,1,2.3
True,1,40,7,0,4,-0.16
False,0,91,3,0,1,-0.91
False,0,26,3,0,1,-0.26
True,8,22,4,0,3,3.79
True,3,10,4,0,2,1.41
True,5,29,6,0,6,2.22
True,1,42,7,0,2,0.09
True,1,30,5,1,4,-0.15
False,0,22,5,0,1,-0.22
True,13,39,4,0,1,6.12
True,7,37,6,0,3,3.05
True,15,24,4,0,3,7.27
False,0,26,8,0,1,-0.26
False,0,46,4,1,1,-0.46
True,1,67,5,0,5,-0.25
False,0,43,3,1,1,-0.43
True,6,20,7,0,2,2.81
False,0,17,2,0,1,-0.17
False,0,53,4,0,1,-0.62
True,8,73,7,0,3,3.19
True,9,79,6,1,4,3.72
False,0,36,5,0,4,-0.36
True,8,15,4,0,1,3.86
True,9,21,6,0,1,4.3
False,0,21,2,0,0,-0.21
False,0,47,1,0,2,-0.47
True,10,67,4,0,1,4.34
True,5,14,6,0,1,2.37
True,14,28,5,0,1,6.73
True,8,67,4,2,2,3.25
True,1,33,5,1,2,0.18
True,15,42,5,0,1,7.09
True,3,54,6,0,2,0.97
False,0,58,5,0,1,-0.58
False,0,17,2,0,1,-0.17
False,0,42,5,0,1,-0.42
True,6,33,5,1,1,2.68
False,0,25,5,0,3,-0.25
False,0,34,2,1,1,-0.34
True,6,39,5,0,2,2.62
True,3,38,5,0,1,1.13
False,0,11,3,0,0,-0.11
False,0,41,10,0,1,-2.21
True,1,40,7,0,2,0.11
True,2,29,5,1,1,0.72
False,0,23,4,0,3,-0.32
True,14,55,5,0,1,6.46
True,11,34,4,0,2,5.17
False,0,54,4,0,1,-0.54
False,0,21,5,2,2,-0.21
True,1,24,6,0,1,0.27
True,10,77,5,1,2,4.15
False,0,23,5,0,1,-0.23
True,9,37,6,0,2,4.14
True,2,30,7,0,2,0.71
False,0,60,2,0,4,-0.6
True,7,68,6,0,4,2.83
True,16,31,4,0,2,7.52
False,0,43,3,0,3,-0.43
True,3,12,5,0,2,1.39
False,0,29,0,1,3,-0.29
True,12,33,6,0,4,5.68
True,9,21,4,0,2,4.3
False,0,5,3,0,0,-0.05
True,4,50,1,3,2,1.42
False,0,35,4,0,2,-0.35
False,0,21,4,0,1,-0.21
False,0,68,2,0,7,-0.68
False,0,24,3,0,2,-0.24
False,0,34,2,0,2,-0.34
True,7,18,5,0,1,3.33
True,17,33,4,0,3,8.18
True,8,34,4,1,2,3.67
True,13,22,4,0,1,6.29
True,6,39,4,1,1,2.62
False,0,44,4,0,1,-0.44
False,0,53,6,0,3,-0.53
False,0,44,0,0,2,-0.44
True,5,18,4,1,3,2.33
True,13,18,6,0,1,6.33
False,0,61,5,0,1,-0.61
False,0,34,5,0,3,-0.34
True,7,23,5,0,1,3.01
False,0,15,3,0,0,-0.15
False,0,25,2,0,3,-0.25
True,3,18,4,1,1,1.33
False,0,19,2,0,3,-0.19
True,8,52,5,0,1,3.49
True,1,33,5,0,2,0.18
True,16,29,4,0,2,7.72
False,0,47,4,0,1,-0.47
True,4,20,4,0,2,1.81
False,0,28,3,1,1,-0.28
False,0,18,4,0,2,-0.18
False,0,47,6,0,2,-0.47
