VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,7,8,0,8,1,3.42
False,0,6,0,6,1,-0.05999999
False,0,24,2,6,2,-0.24
True,9,19,0,9,2,4.25
False,0,13,0,12,1,-0.13
True,8,13,0,8,2,3.87
False,0,19,1,8,3,-0.19
False,0,36,0,6,1,-0.3599999
False,0,17,1,4,1,-0.17
True,8,8,0,5,2,3.92
True,11,8,0,4,1,5.42
True,18,8,0,5,1,8.92
True,9,5,0,5,1,4.45
True,5,41,2,8,3,2.09
True,13,6,0,4,0,6.44
True,14,5,0,4,0,6.95
True,18,9,0,4,2,8.91
False,0,15,0,8,1,-0.15
True,14,26,0,5,5,6.74
False,0,20,2,7,1,-0.2
True,15,10,0,6,0,7.4
True,1,13,0,7,2,0.37
True,6,13,5,0,1,2.87
False,0,13,0,8,1,-0.13
True,4,91,2,9,6,1.090001
True,2,39,0,6,1,0.6100001
True,3,15,4,5,0,1.35
True,11,20,3,4,4,5.3
True,10,14,0,5,1,4.86
True,4,34,0,7,2,1.66
True,8,12,0,9,1,3.88
True,8,14,4,3,1,3.86
True,2,15,1,13,1,0.85
False,0,78,1,7,4,-0.7799996
False,0,16,2,6,2,-0.16
True,4,18,0,8,1,1.82
False,0,15,1,9,2,-0.15
True,4,19,0,16,1,1.81
False,0,5,0,5,1,-0.05
False,0,25,2,7,2,-0.25
False,0,14,0,5,1,-0.14
False,0,25,0,19,2,-0.25
True,10,12,8,0,1,4.88
True,8,20,0,5,3,3.8
True,5,14,0,4,1,2.36
False,0,33,1,7,3,-0.33
True,11,30,2,9,2,5.2
True,9,47,0,10,4,4.03
True,10,8,4,0,0,4.92
True,15,11,3,4,1,7.39
True,7,14,0,8,1,3.36
True,2,22,3,9,1,0.78
True,13,12,0,7,1,6.38
True,11,14,0,9,3,5.36
True,11,20,0,5,2,5.3
False,0,9,0,6,2,-0.08999999
False,0,13,0,5,1,-0.13
False,0,18,0,6,1,-0.18
True,4,25,0,11,3,1.75
True,19,7,0,5,1,9.43
True,8,17,4,4,1,3.83
False,0,25,0,5,2,-0.25
False,0,13,0,7,1,-0.13
False,0,13,0,5,1,-0.13
True,5,13,2,4,2,2.37
True,6,79,0,6,4,2.210001
True,3,17,9,1,1,1.33
True,12,26,0,6,4,5.74
False,0,32,0,9,2,-0.32
True,9,29,0,5,2,4.21
False,0,5,0,5,0,-0.05
False,0,19,0,17,1,-0.19
True,15,23,3,4,1,7.27
True,4,34,0,8,1,1.66
False,0,61,3,5,0,-0.6099997
False,0,34,4,5,3,-0.3399999
False,0,11,0,5,1,-0.11
True,7,14,0,5,2,3.36
False,0,24,0,7,3,-0.24
True,15,8,0,8,1,7.42
False,0,29,2,5,2,-0.29
True,8,16,0,5,1,3.84
True,12,12,0,8,0,5.88
True,11,7,2,3,0,5.43
True,13,9,0,5,2,6.41
True,16,13,2,9,1,7.87
True,7,17,0,6,1,3.33
True,10,7,0,5,2,4.93
True,11,5,0,5,0,5.45
True,6,22,0,8,1,2.78
False,0,12,0,8,1,-0.12
True,8,18,7,0,2,3.82
False,0,7,0,6,1,-0.06999999
True,7,26,0,6,3,3.24
False,0,29,0,5,3,-0.29
True,14,9,0,6,1,6.91
True,14,3,3,0,1,6.97
True,2,11,7,0,0,0.89
True,2,12,0,9,1,0.88
False,0,21,1,6,0,-0.21
True,5,38,0,5,4,2.12
False,0,31,0,6,1,-0.31
False,0,21,2,5,2,-0.21
True,12,7,0,5,1,5.93
True,16,11,1,4,0,7.89
True,7,6,0,5,1,3.44
True,10,25,0,11,4,4.75
True,15,12,0,6,2,7.38
True,10,6,0,5,1,4.94
False,0,13,0,6,1,-0.13
False,0,27,1,5,1,-0.27
True,5,10,0,7,1,2.4
False,0,32,0,7,2,-0.32
True,5,8,1,5,1,2.42
True,10,17,1,4,0,4.83
True,6,17,2,4,3,2.83
True,7,31,0,5,2,3.19
False,0,23,0,14,1,-0.23
True,9,25,0,7,1,4.25
True,5,24,0,8,1,2.26
False,0,37,0,14,6,-0.3699999
True,11,16,0,4,1,5.34
True,19,13,0,6,2,9.37
True,5,56,0,9,2,1.94
False,0,32,0,5,4,-0.32
True,6,14,1,9,1,2.86
True,13,6,0,4,1,6.44
True,17,9,0,4,2,8.41
