VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,7,0,7,1,-0.06999999
True,11,8,0,6,0,5.43
True,13,27,0,5,3,5.96
False,0,21,0,8,2,-14.51004
True,3,13,0,12,1,1.38
False,0,19,0,7,1,-0.19
True,3,21,0,7,2,1.3
True,9,40,0,6,1,4.11
True,17,18,0,4,2,8.33
False,0,9,0,4,0,-0.08999999
False,0,7,0,3,0,-0.06999999
False,0,7,0,4,1,-0.06999999
False,0,4,0,4,0,-0.04
False,0,41,1,7,2,-0.4099999
False,0,10,0,3,0,-0.09999999
False,0,8,0,3,0,-0.07999999
False,0,15,0,3,0,-0.15
True,5,18,0,8,1,2.33
False,0,27,0,4,1,-0.27
True,8,22,0,7,3,3.79
False,0,14,0,6,1,-0.14
False,0,12,0,6,1,-0.12
False,0,14,4,0,1,-0.14
True,9,17,0,8,1,4.34
False,0,98,1,7,7,-1.079999
False,0,39,0,5,1,-0.3899999
False,0,14,1,4,2,-0.14
False,0,19,0,3,3,-0.19
False,0,14,0,4,1,-0.14
False,0,38,0,6,0,-0.7399997
False,0,12,0,8,1,-0.12
False,0,13,1,2,2,-0.13
False,0,14,0,12,1,-0.14
True,6,84,0,7,5,2.080001
True,9,18,0,6,3,4.33
False,0,22,0,7,1,-0.5799999
True,16,17,0,9,2,7.84
False,0,22,0,15,1,-0.22
True,10,8,0,5,1,4.93
True,1,26,0,7,2,0.1600001
True,7,17,0,5,1,3.34
True,11,34,0,19,4,4.97
False,0,11,5,0,3,-0.11
False,0,21,0,4,1,-0.21
False,0,13,0,3,0,-0.13
True,12,34,0,7,5,5.67
False,0,34,0,8,3,-0.3399999
False,0,49,0,9,1,-0.4899998
False,0,7,2,0,1,-0.06999999
False,0,12,0,3,3,-0.12
False,0,15,0,7,1,-0.15
False,0,27,0,8,3,-0.27
False,0,14,0,6,1,-0.14
False,0,14,0,8,1,-0.23
False,0,22,0,5,1,-0.22
True,5,12,0,6,2,2.39
True,2,14,0,5,1,0.87
True,2,20,0,6,1,0.81
False,0,32,0,10,4,-0.32
False,0,6,0,4,1,-0.05999999
False,0,16,0,3,3,-0.16
True,14,28,0,5,1,6.73
True,2,13,0,7,1,0.88
True,5,13,0,5,1,2.38
False,0,12,0,3,3,-0.12
False,0,79,0,5,1,-0.7899995
False,0,16,5,0,4,-0.16
False,0,25,0,5,1,-0.25
True,1,33,0,9,1,0.1800001
False,0,33,0,4,1,-0.5999998
True,2,11,0,5,0,0.9
True,2,20,0,17,1,0.81
False,0,23,1,3,3,-0.23
False,0,33,0,7,1,-0.33
True,7,66,1,5,2,2.85
True,6,35,1,5,3,2.66
True,9,12,0,5,0,4.3
False,0,13,0,4,1,-0.13
True,5,24,0,7,1,2.27
False,0,9,0,7,1,-0.08999999
True,4,29,0,5,2,1.62
False,0,16,0,4,1,-0.16
False,0,11,0,7,1,-0.11
False,0,10,0,2,2,-0.19
False,0,8,0,4,1,-0.07999999
False,0,13,0,8,2,-0.13
False,0,17,0,5,2,-0.17
False,0,23,0,4,1,-0.23
False,0,4,0,4,0,-0.04
False,0,24,0,7,1,-0.24
True,2,12,0,8,1,0.89
False,0,18,6,0,1,-0.18
True,13,7,0,6,1,6.44
False,0,26,0,5,1,-0.26
True,8,32,0,5,1,3.69
False,0,8,0,5,1,-0.07999999
False,0,2,2,0,0,-0.02
False,0,10,6,0,1,-0.09999999
False,0,13,0,8,2,-0.22
True,3,21,0,6,1,1.3
False,0,39,0,4,1,-0.3899999
True,8,38,0,6,1,3.63
True,3,21,1,6,2,1.3
False,0,6,0,4,0,-0.05999999
False,0,11,0,3,1,-0.11
False,0,6,0,4,0,-0.05999999
False,0,29,0,9,2,-0.6499998
False,0,11,0,5,1,-0.11
False,0,10,0,4,0,-0.09999999
True,12,16,0,6,1,5.85
True,13,31,0,5,3,6.11
False,0,9,0,6,0,-0.08999999
True,14,61,0,7,6,6.2
False,0,8,0,4,1,-0.07999999
False,0,16,0,3,1,-0.16
False,0,16,0,3,2,-0.16
False,0,32,0,4,1,-0.32
True,10,29,0,14,4,4.72
False,0,26,0,6,1,-0.26
False,0,25,0,6,1,-0.25
True,12,67,0,14,4,3.090001
