VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,4,14,0,8,1,1.86
True,1,7,7,0,1,0.43
True,20,66,0,8,3,9.34
False,0,10,5,2,1,-0.09999999
True,4,5,5,0,1,1.95
True,7,20,0,5,2,3.3
False,0,19,0,7,1,-0.19
False,0,18,0,6,2,-0.18
False,0,10,4,1,2,-0.09999999
False,0,20,7,1,1,-0.2
True,7,10,5,1,1,3.4
False,0,28,0,6,2,-0.28
True,14,10,6,0,1,6.9
False,0,10,6,0,2,-0.09999999
True,4,10,1,5,1,1.9
True,20,3,2,1,1,9.97
True,10,12,4,0,2,4.88
True,11,5,4,0,1,5.45
False,0,9,5,0,1,-0.08999999
True,10,8,4,0,2,4.92
False,0,12,9,0,0,-0.12
True,13,13,4,0,3,6.37
False,0,30,0,7,1,-0.3
False,0,15,3,2,2,-0.15
False,0,9,6,1,1,-0.08999999
False,0,14,6,2,2,-0.14
True,15,4,4,0,0,7.46
False,0,21,0,7,2,-0.21
False,0,14,7,1,1,-0.14
True,17,6,6,0,1,8.44
True,6,6,6,0,1,2.94
False,0,37,7,4,1,-0.3699999
True,8,18,4,2,3,3.82
True,8,11,7,0,0,3.89
True,17,5,4,1,0,8.45
True,8,39,4,4,4,3.61
True,4,39,6,1,2,1.61
False,0,37,5,5,2,-0.3699999
False,0,9,5,1,1,-0.08999999
False,0,8,5,0,1,-0.07999999
True,14,7,4,0,2,6.93
True,15,7,0,4,2,7.43
False,0,24,0,9,2,-0.24
True,8,14,5,2,1,3.86
True,6,7,5,0,1,2.93
False,0,13,6,1,2,-0.13
False,0,7,5,0,1,-0.06999999
False,0,28,2,4,3,-0.28
True,7,23,0,8,2,3.27
True,11,18,2,7,1,5.32
False,0,12,6,2,1,-0.12
True,7,19,4,2,2,3.31
True,11,11,4,1,2,5.39
True,19,4,4,0,1,9.46
True,9,8,5,0,1,4.42
False,0,28,0,5,2,-0.28
True,13,12,4,0,3,6.38
False,0,56,0,6,4,-0.5599998
True,12,11,0,4,2,5.89
True,4,18,9,1,3,1.82
False,0,18,0,5,2,-0.18
True,3,33,6,2,1,1.17
False,0,21,2,8,1,-0.21
False,0,15,3,3,2,-0.15
False,0,26,4,7,2,-0.26
True,7,10,0,5,1,3.4
True,9,64,1,9,2,3.86
False,0,30,4,2,3,-0.3
False,0,23,1,9,2,-0.23
True,14,73,2,4,2,6.27
True,5,10,6,0,1,2.4
True,17,5,3,1,1,8.45
True,9,13,3,4,3,4.37
False,0,13,5,0,1,-0.13
True,18,14,0,7,2,8.86
True,15,10,4,0,1,7.4
True,8,4,4,0,0,3.96
True,8,23,0,6,1,3.77
False,0,22,5,2,3,-0.22
True,14,17,0,7,3,6.83
True,1,7,7,0,1,0.43
True,4,11,5,1,1,1.89
True,4,11,8,1,1,1.89
True,8,12,5,1,1,3.88
False,0,15,5,1,2,-0.15
True,3,21,4,4,4,1.29
False,0,31,5,5,1,-0.31
True,4,15,4,1,3,1.85
True,2,13,0,7,2,0.87
False,0,20,0,5,1,-0.2
False,0,20,0,4,2,-0.2
True,8,14,10,2,2,3.86
True,8,21,4,9,1,3.79
True,10,11,0,7,1,4.89
True,20,10,4,1,2,9.9
False,0,16,0,6,1,-0.16
False,0,5,5,0,0,-0.05
True,5,5,5,0,1,2.45
True,6,22,4,6,4,2.78
False,0,22,0,7,1,-0.22
False,0,10,5,0,1,-0.09999999
False,0,28,5,0,5,-0.28
False,0,21,0,6,3,-0.21
False,0,10,4,0,0,-0.09999999
True,11,8,4,1,1,5.42
True,5,13,5,2,2,2.37
True,13,5,5,0,0,6.45
True,12,8,4,0,2,5.92
True,15,53,0,6,1,6.97
True,9,26,0,6,4,4.24
False,0,28,0,7,1,-0.28
False,0,5,5,0,0,-0.05
False,0,22,4,5,3,-0.22
True,2,14,1,8,2,0.86
False,0,20,4,1,3,-0.2
True,3,14,5,1,3,1.36
False,0,14,0,6,2,-0.14
True,20,26,0,4,2,9.74
True,2,31,0,9,3,0.6900001
False,0,11,5,0,1,-0.11
False,0,13,8,1,0,-0.13
False,0,7,5,0,1,-0.06999999
True,2,29,0,5,1,0.71
False,0,14,6,0,1,-0.14
True,7,14,4,2,0,3.36
True,9,8,4,1,0,4.42
True,4,20,2,6,2,1.8
True,10,21,0,12,2,4.79
True,10,10,6,0,2,4.9
False,0,20,2,6,2,-0.2
