VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,13,0,7,1,-0.13
False,0,6,5,0,2,-0.05999999
False,0,65,0,0,2,-0.6499997
True,9,10,5,0,3,4.41
False,0,4,4,0,1,-0.04
False,0,28,0,4,1,-0.9099997
True,7,20,0,5,2,3.31
True,10,19,0,5,2,4.82
True,6,10,5,0,1,2.91
True,14,20,5,0,3,6.81
False,0,9,4,0,1,-0.08999999
True,7,30,0,4,2,3.21
False,0,9,4,0,1,-0.08999999
True,4,10,6,0,1,1.91
False,0,9,0,4,2,-0.08999999
False,0,2,1,0,0,-0.02
False,0,13,3,0,1,-0.3099999
False,0,4,3,0,0,-0.04
True,1,9,5,0,1,0.42
False,0,7,3,0,1,-0.06999999
True,6,12,8,0,2,2.89
False,0,12,3,0,0,-0.12
True,7,38,0,5,2,2.68
True,14,15,3,0,3,6.86
True,5,9,5,0,2,2.42
True,2,14,6,1,2,0.87
False,0,3,3,0,0,-0.03
True,6,21,0,6,2,2.8
True,6,14,5,0,4,2.87
False,0,5,5,0,1,-0.05
False,0,5,5,0,0,-0.05
True,4,37,5,0,5,1.64
False,0,17,4,0,2,-0.17
False,0,10,6,0,0,-0.09999999
False,0,4,1,0,0,-0.04
False,0,42,3,0,4,-0.4199999
False,0,45,5,0,2,-0.8099996
True,5,37,5,0,3,2.14
True,6,9,5,0,0,2.92
True,2,8,4,0,1,0.93
False,0,6,3,0,1,-0.05999999
False,0,6,0,2,0,-0.05999999
True,3,26,0,7,3,1.25
False,0,14,3,1,2,-0.14
False,0,6,4,0,1,-0.05999999
True,8,13,6,0,1,3.88
True,5,7,5,0,1,2.44
True,5,110,0,4,5,-5.880019
False,0,22,0,7,1,-0.22
False,0,26,0,4,4,-0.9799997
True,13,13,5,1,2,6.38
False,0,18,3,0,1,-0.18
False,0,11,3,0,1,-0.11
False,0,3,3,0,1,-0.03
False,0,7,3,0,0,-0.06999999
True,2,31,0,4,0,0.7
False,0,11,3,0,1,-0.11
True,8,58,0,5,1,3.43
False,0,10,0,3,0,-0.09999999
False,0,18,8,0,2,-0.18
True,11,19,0,4,1,5.23
False,0,39,5,1,1,-0.5699999
True,3,21,1,6,4,1.3
True,1,17,4,2,1,0.34
True,9,29,1,5,5,4.22
False,0,9,0,3,1,-0.08999999
False,0,69,1,4,3,-0.6899996
True,7,31,4,0,1,3.2
True,5,25,1,6,3,2.26
False,0,73,1,0,2,-0.8199996
False,0,9,4,0,2,-0.08999999
False,0,4,2,0,0,-0.04
False,0,14,2,3,2,-0.14
True,10,13,4,0,2,4.88
False,0,13,0,4,3,-0.13
False,0,9,2,0,1,-0.08999999
False,0,3,3,0,1,-0.03
False,0,24,0,2,2,-0.33
True,8,24,4,0,4,3.77
False,0,18,0,4,3,-0.18
False,0,6,6,0,1,-0.05999999
False,0,10,4,0,2,-0.09999999
