VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,17,6,2,2,1,8.44
True,11,7,5,0,0,5.43
True,1,27,8,2,2,0.23
True,14,32,3,5,1,6.68
True,14,20,3,4,2,6.8
True,20,14,2,2,1,9.86
False,0,14,4,2,1,-0.14
True,10,16,5,0,3,4.84
True,19,41,2,5,1,9.09
False,0,13,5,2,1,-0.13
True,4,9,6,0,1,1.91
True,9,8,5,0,0,4.42
False,0,13,6,0,1,-0.13
False,0,25,6,1,1,-0.25
True,3,10,6,0,3,1.4
True,10,11,6,0,1,4.89
True,4,34,5,3,4,1.66
True,5,21,6,2,1,2.29
True,20,16,1,5,1,9.84
True,9,17,5,1,1,4.33
True,9,9,4,0,0,4.41
False,0,32,7,4,3,-0.32
True,17,23,2,3,1,8.27
False,0,18,5,0,3,-0.18
True,11,33,5,1,2,5.17
False,0,6,4,1,1,-0.05999999
True,11,23,6,6,1,5.27
False,0,16,4,1,0,-0.16
True,10,13,5,1,1,4.87
False,0,22,5,2,1,-0.22
False,0,16,6,1,2,-0.16
True,6,19,6,0,2,2.81
True,7,29,5,5,3,3.21
False,0,25,5,0,2,-0.25
True,9,22,5,1,3,4.28
False,0,9,5,0,1,-0.08999999
False,0,8,8,0,0,-0.07999999
True,2,13,5,0,2,0.87
True,10,10,5,0,1,4.9
True,16,21,3,3,2,7.79
True,6,6,3,1,1,2.94
False,0,19,5,5,2,-0.19
False,0,23,5,1,2,-0.23
False,0,7,4,0,0,-0.06999999
True,10,9,5,0,1,4.91
True,10,12,5,2,1,4.88
True,10,22,6,0,6,4.78
False,0,14,10,1,0,-0.14
True,11,21,4,2,2,5.29
True,5,16,7,0,2,2.34
True,11,12,4,2,1,5.38
True,15,21,3,3,3,7.29
False,0,13,5,1,1,-0.13
True,3,16,5,0,2,1.34
False,0,13,4,1,1,-0.13
True,6,32,8,5,2,2.68
False,0,7,6,1,0,-0.06999999
True,6,15,7,1,2,2.85
False,0,32,8,5,1,-0.32
True,15,24,4,3,3,7.26
True,8,25,5,2,2,3.75
True,1,15,5,2,1,0.35
False,0,14,7,0,2,-0.14
True,10,7,4,1,1,4.93
True,7,14,5,1,2,3.36
True,2,24,6,2,1,0.76
True,5,20,4,4,1,2.3
True,4,16,4,1,3,1.84
True,14,11,4,0,1,6.89
False,0,25,4,2,3,-0.25
True,5,15,9,0,3,2.35
True,2,7,5,0,1,0.93
False,0,5,5,0,0,-0.05
True,5,52,3,4,3,1.98
True,9,5,5,0,1,4.45
False,0,31,5,2,2,-0.31
True,6,16,5,1,2,2.84
False,0,9,5,1,0,-0.08999999
True,12,5,4,1,0,5.95
True,5,9,5,0,1,2.41
True,13,15,4,3,0,6.35
False,0,8,6,1,1,-0.07999999
True,1,32,5,1,5,0.18
