VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,5,1,0,0,-0.05
False,0,6,4,0,1,-0.05999999
False,0,29,5,0,4,-0.29
False,0,31,2,0,2,-0.31
False,0,21,2,0,2,-0.21
False,0,17,1,0,0,-0.26
True,3,15,4,0,2,1.36
False,0,15,4,0,1,-0.15
False,0,41,1,0,2,-0.4099999
True,17,14,4,0,3,8.37
False,0,8,5,0,1,-0.07999999
False,0,7,4,0,1,-0.06999999
True,8,13,6,0,1,3.88
True,3,25,6,0,1,1.26
False,0,9,5,0,1,-0.08999999
False,0,11,5,0,1,-0.11
False,0,38,4,0,2,-0.3799999
False,0,20,4,0,2,-0.2
False,0,15,0,0,1,-0.15
False,0,30,3,0,2,-1.47
False,0,8,3,0,0,-0.07999999
True,15,33,5,0,5,7.18
False,0,25,1,0,1,-0.25
True,3,18,5,0,1,1.33
False,0,33,4,0,2,-0.4199999
True,1,7,4,0,1,0.44
False,0,23,4,0,5,-0.23
True,2,16,4,0,1,0.85
False,0,14,4,0,2,-0.14
True,13,24,5,0,2,6.27
True,7,18,6,0,1,3.33
False,0,18,5,0,1,-0.18
False,0,30,4,0,2,-0.3
True,6,26,5,0,1,2.75
False,0,21,4,0,1,-0.21
True,11,9,5,0,1,5.42
True,2,8,8,0,1,0.93
False,0,12,4,0,0,-0.12
False,0,9,3,0,2,-0.08999999
False,0,23,2,0,1,-0.23
False,0,5,2,0,0,-0.05
True,5,19,5,0,2,2.32
True,1,24,5,0,2,0.27
True,8,8,4,0,1,3.93
False,0,8,4,0,0,-0.07999999
False,0,11,4,0,1,-0.11
False,0,21,3,0,4,-0.21
True,1,15,7,0,3,0.36
False,0,20,3,0,1,-0.2
False,0,15,7,0,1,-0.15
False,0,11,4,0,1,-0.11
False,0,20,2,0,2,-0.2
True,8,13,5,0,1,3.88
False,0,16,4,0,1,-0.16
True,9,13,4,0,1,4.38
False,0,34,4,0,5,-0.3399999
True,9,9,5,0,1,4.42
False,0,14,5,0,2,-0.14
True,1,35,6,0,4,0.1600001
False,0,23,3,0,2,-0.23
False,0,30,4,1,1,-0.8399998
False,0,14,4,0,1,-0.14
True,9,14,7,0,1,4.37
False,0,6,3,0,1,-0.05999999
False,0,13,4,0,1,-0.13
False,0,29,5,0,2,-0.7399998
False,0,20,3,0,2,-0.2
False,0,15,3,0,1,-0.15
False,0,10,3,0,1,-0.09999999
True,4,28,4,1,2,1.73
False,0,16,7,0,2,-0.16
False,0,6,4,0,1,-0.05999999
True,1,6,4,0,1,0.45
False,0,54,2,0,2,-0.7199996
False,0,4,4,0,1,-0.04
True,4,34,5,0,3,1.67
False,0,15,4,0,1,-0.15
True,8,9,5,0,1,3.92
False,0,4,2,0,0,-0.04
False,0,8,4,0,1,-0.07999999
False,0,15,3,0,2,-0.15
True,1,8,6,0,1,0.43
False,0,32,4,0,1,-0.32
False,0,5,3,0,0,-0.05
True,8,13,5,0,1,3.88
False,0,4,3,0,1,-0.04
True,15,17,5,0,2,7.34
True,1,21,6,0,1,-0.1499998
True,2,16,4,0,1,0.76
False,0,8,5,0,1,-0.07999999
False,0,55,3,0,2,-0.5499998
False,0,7,7,0,0,-0.06999999
True,1,8,8,0,1,0.43
False,0,5,3,0,1,-0.05
False,0,14,3,0,2,-0.3199999
True,10,6,5,0,1,4.95
False,0,7,3,0,1,-0.06999999
False,0,11,2,0,1,-0.11
False,0,11,4,0,2,-0.11
False,0,4,4,0,0,-0.04
False,0,9,5,0,1,-0.08999999
True,16,14,3,0,4,7.87
False,0,16,4,0,1,-0.16
True,5,20,5,0,1,2.31
True,17,9,4,0,2,8.42
