VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,16,40,0,6,2,7.6
True,9,27,6,5,1,4.23
True,14,18,1,6,0,6.82
True,13,26,1,5,1,6.24
True,19,16,0,4,3,9.34
True,18,35,0,6,3,8.65
True,10,72,0,11,3,4.28
True,16,34,1,9,1,7.66
True,3,37,0,6,4,1.13
True,9,18,0,5,2,4.32
True,13,16,0,4,1,6.34
True,12,18,2,4,2,5.82
True,16,39,2,3,2,7.61
True,15,60,1,5,2,6.9
True,17,48,0,8,5,8.02
True,13,18,3,3,4,6.32
True,18,12,0,5,1,8.88
True,18,49,1,6,1,8.51
True,11,34,2,5,1,5.16
True,20,21,1,6,3,9.79
True,10,34,0,4,4,4.66
True,10,62,1,5,2,4.38
True,14,44,0,4,3,6.56
True,13,9,2,2,0,6.41
True,16,28,0,5,3,7.72
True,8,51,0,8,3,3.49
True,20,35,1,6,3,9.65
True,18,49,3,4,1,8.51
True,12,46,1,8,2,5.54
True,16,64,3,7,2,7.36
True,19,47,0,5,3,9.03
True,20,19,2,3,4,9.81
True,14,17,5,3,1,6.83
True,19,7,3,0,2,9.43
True,20,14,3,4,2,9.86
True,15,38,0,6,4,7.12
True,15,16,0,4,4,7.34
True,15,25,2,6,1,7.25
True,4,91,1,8,3,1.090001
True,15,42,0,5,2,7.08
True,13,29,1,5,2,6.21
True,17,12,0,4,0,8.38
True,14,32,2,5,1,6.68
True,10,53,2,5,1,4.47
True,8,50,2,5,2,3.5
True,10,28,1,4,3,4.72
True,8,75,1,7,5,3.25
True,8,47,1,7,2,3.53
True,5,44,0,8,2,2.06
True,10,61,0,14,3,4.39
True,7,30,1,8,4,3.2
True,14,27,0,4,1,6.73
True,6,22,2,9,2,2.78
True,10,53,0,8,5,4.47
True,10,35,0,9,1,4.65
True,13,34,0,5,2,6.16
True,11,38,1,9,0,5.12
True,8,44,0,5,7,3.56
True,14,17,2,4,0,6.83
True,20,15,3,5,1,9.85
True,3,51,3,10,1,0.9900002
True,9,32,3,3,1,4.18
True,8,57,2,8,3,3.43
True,18,9,1,3,0,8.91
True,17,36,0,4,4,8.14
True,3,71,5,15,3,0.7900004
False,0,40,0,6,2,-0.3999999
True,7,50,3,8,2,3
True,19,28,1,5,1,9.22
True,20,16,2,3,3,9.84
True,11,48,2,10,2,5.02
True,15,34,2,3,3,7.16
True,18,35,2,4,1,8.65
True,20,7,4,0,1,9.93
