VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,18,95,3,13,2,4.37
True,20,42,0,7,3,9.32
True,11,23,0,5,1,5.1
True,20,82,0,7,3,9.19
True,16,65,1,7,0,7.36
True,20,21,0,4,2,9.8
True,16,55,1,9,1,7.46
True,16,24,0,7,1,7.59
True,20,39,0,8,2,9.62
True,17,46,3,13,2,8.05
True,20,36,2,9,1,9.65
True,19,44,0,8,2,8.62
True,20,16,0,4,0,9.85
True,20,25,2,3,0,9.76
True,20,31,1,5,1,9.7
True,15,10,0,4,0,7.41
True,20,48,0,8,1,9.44
True,14,57,0,11,1,6.44
True,20,39,0,8,2,9.62
True,18,21,0,5,1,8.8
True,20,24,0,5,1,9.77
True,20,33,0,6,0,9.5
True,20,48,0,6,1,9.44
True,20,37,1,6,0,9.64
True,20,23,0,6,1,9.78
True,20,68,0,8,1,9.24
True,7,24,0,6,0,3.27
True,18,9,0,4,1,8.92
True,20,24,0,7,2,9.77
True,19,53,0,10,1,8.89
True,20,36,4,5,1,9.65
True,20,41,0,5,1,9.6
True,20,33,0,5,1,9.68
True,20,35,0,6,2,9.66
True,13,50,0,7,1,6.01
True,14,42,0,17,3,6.59
True,20,26,1,5,0,9.75
True,20,21,2,4,1,9.8
True,20,34,0,4,0,9.67
True,20,37,0,4,1,9.64
True,20,33,1,5,1,9.68
True,20,22,2,3,2,9.79
True,15,31,0,9,1,7.2
True,20,31,0,6,1,9.7
True,20,36,1,4,1,9.65
True,13,44,0,4,1,5.8
True,20,34,0,8,4,9.67
True,19,37,1,7,1,9.14
True,15,19,0,6,2,7.32
True,3,51,1,15,1,0.64
True,20,29,1,7,1,9.63
True,20,54,0,10,0,9.29
True,20,43,1,7,0,9.58
True,16,52,0,6,0,7.49
True,19,52,0,10,1,8.99
True,18,24,0,7,3,8.77
True,15,81,0,9,2,6.7
True,20,39,0,7,2,9.62
True,20,33,1,7,1,9.68
True,5,48,1,8,4,1.93
True,16,24,1,5,1,7.77
True,10,37,2,9,0,4.55
True,20,54,0,6,0,9.47
True,17,55,0,6,1,7.15
True,19,31,1,7,0,9.2
True,19,85,2,8,1,8.66
True,20,31,1,5,0,9.7
True,20,14,1,4,0,9.87
True,20,25,1,7,1,9.76
True,14,9,0,4,1,6.92
True,16,30,0,8,2,7.71
True,16,17,2,4,1,7.84
True,20,10,0,4,0,9.91
True,19,66,0,12,2,8.85
True,20,22,0,5,1,9.79
True,20,54,4,11,1,9.47
True,16,37,0,8,3,7.64
True,6,47,1,9,1,2.54
True,20,58,1,6,2,9.34
True,20,14,0,4,0,9.87
True,20,31,0,7,2,9.7
True,19,95,2,10,2,8.56
True,14,23,1,7,1,6.78
True,11,31,0,8,1,5.2
True,12,27,5,3,1,5.74
True,19,15,0,5,1,9.36
