VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,15,14,3,1,2,7.36
True,14,31,4,5,1,6.69
True,20,7,3,1,0,9.93
True,15,23,5,0,4,7.27
True,20,7,4,3,0,9.93
True,20,11,4,0,2,9.89
True,20,17,0,4,1,9.83
True,9,18,5,0,2,4.32
True,14,78,1,6,1,6.22
True,20,57,2,3,3,9.43
True,20,149,0,6,3,8.510001
True,10,52,3,4,4,4.48
True,7,17,4,2,3,3.33
True,15,29,2,5,2,7.21
True,17,69,2,3,0,7.81
True,19,32,3,4,4,9.18
True,20,65,3,6,5,9.35
True,14,49,2,2,2,6.51
True,20,108,5,4,3,8.920001
True,20,33,5,3,1,9.67
True,17,130,2,4,3,7.200001
True,18,19,1,4,3,8.81
True,19,44,2,5,1,9.06
True,20,30,1,4,5,9.7
True,20,14,2,3,1,9.86
True,17,20,2,2,2,8.3
True,15,22,2,2,6,7.28
True,19,43,4,1,4,9.07
True,12,65,6,3,1,5.35
True,19,24,1,4,2,9.26
True,19,129,2,8,2,8.210001
True,14,19,1,4,1,6.81
True,18,29,1,6,1,8.71
True,16,7,4,3,0,7.93
True,20,14,5,2,1,9.86
True,8,22,7,1,1,3.78
True,15,28,4,6,2,7.22
True,20,4,4,0,1,9.96
True,20,28,2,3,2,9.72
True,14,16,5,1,2,6.84
True,16,49,1,5,5,7.51
True,17,20,2,4,1,8.3
True,18,65,1,6,4,8.35
True,20,15,1,5,2,9.85
True,14,18,3,4,3,6.82
True,14,19,6,2,1,6.81
True,15,58,5,5,0,6.92
True,10,63,5,6,3,4.37
True,14,48,2,3,5,6.52
True,11,25,2,4,4,5.25
True,20,79,4,3,2,9.21
True,14,37,3,1,2,6.63
True,19,55,1,8,5,8.95
True,20,23,3,3,2,9.77
True,20,40,5,4,1,9.6
False,0,17,4,6,2,-0.17
True,16,16,5,2,1,7.84
True,15,19,4,1,4,7.31
True,16,27,5,1,3,7.73
True,10,26,5,0,2,4.74
True,19,7,4,1,2,9.43
True,20,6,5,1,0,9.94
True,8,60,0,7,4,3.4
True,20,42,1,6,3,8.070002
True,20,29,1,5,4,9.71
True,15,27,3,1,2,7.23
True,14,5,5,0,0,6.95
True,20,92,0,5,3,9.080001
True,20,109,1,7,1,8.910001
True,20,15,3,3,2,9.85
True,20,4,3,1,1,9.96
True,20,122,4,4,2,8.780001
True,20,15,4,3,2,9.85
True,16,6,4,0,0,7.94
True,14,53,4,8,1,6.47
True,19,32,4,0,1,9.18
True,20,55,1,7,3,9.45
True,15,19,4,4,0,7.31
True,20,63,2,3,4,9.37
True,16,34,4,5,2,7.66
True,20,22,5,1,3,9.78
True,15,21,3,3,1,7.29
True,20,16,1,4,2,9.84
True,20,86,4,3,4,9.14
True,14,62,3,5,1,6.38
True,20,37,1,3,3,9.63
True,18,11,3,1,0,8.89
True,11,41,4,1,5,5.09
True,16,151,1,7,4,6.490001
True,12,14,3,3,1,5.86
True,16,128,4,3,5,6.720001
True,15,85,2,5,4,6.650001
True,14,32,1,6,1,6.68
True,18,42,1,5,3,8.58
True,14,25,1,5,2,6.75
True,15,30,2,5,3,7.2
True,20,85,2,5,5,9.150001
True,15,37,3,5,4,7.13
True,19,7,3,1,0,9.43
True,20,8,2,3,2,9.92
True,20,32,0,4,2,9.68
True,14,113,3,3,2,5.870001
True,20,30,1,6,2,9.7
True,20,26,4,2,2,9.74
True,20,31,5,0,3,9.69
True,14,30,6,2,0,6.7
True,14,15,2,3,1,6.85
True,20,12,4,1,1,9.88
True,9,23,3,2,3,4.27
True,17,19,2,2,5,8.31
True,20,14,2,2,3,9.86
True,16,18,4,1,2,7.82
True,12,21,0,6,2,4.280001
True,15,20,1,4,3,7.3
True,12,19,2,3,2,5.81
True,8,32,7,10,1,3.68
True,14,23,2,3,4,6.77
True,10,9,9,0,1,4.91
True,16,38,3,4,2,7.62
True,20,124,3,2,3,8.760001
True,17,10,2,2,2,8.4
True,20,4,2,2,1,9.96
True,20,42,3,4,2,9.58
True,20,21,0,5,0,9.79
True,15,16,3,4,1,7.34
True,20,33,2,4,2,9.67
True,18,28,4,1,0,8.72
True,12,23,4,3,1,5.77
True,20,11,2,5,0,9.89
True,14,33,2,5,4,6.67
True,20,31,0,5,4,9.69
