VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,20,23,5,0,1,9.78
True,20,22,2,2,0,9.79
True,19,20,5,0,1,9.13
True,15,62,2,3,1,6.71
True,19,32,2,3,2,9.19
True,19,52,2,4,1,8.99
True,20,49,4,1,1,9.43
True,14,33,4,2,1,6.68
True,9,28,5,0,0,4.23
True,20,11,2,3,3,9.8
True,17,8,5,0,0,8.43
True,14,17,3,2,1,6.75
True,16,18,7,0,2,7.83
True,20,16,4,1,1,9.85
True,20,21,3,2,1,9.8
True,20,26,2,4,1,9.75
True,20,25,3,1,0,9.76
True,20,18,3,1,0,9.83
True,20,52,4,1,1,9.49
True,20,17,6,0,1,9.84
True,20,24,3,2,0,9.77
False,0,27,3,0,0,-0.54
True,16,17,3,3,2,7.84
True,8,26,3,2,1,3.75
True,10,52,3,8,2,4.49
True,16,22,4,2,2,7.79
True,20,16,3,3,0,9.85
True,20,8,3,1,0,9.93
True,12,21,4,4,1,5.8
True,20,26,5,1,3,9.75
True,16,143,3,9,3,-3.05
True,17,20,1,6,1,8.31
True,12,14,4,1,2,5.87
True,14,20,5,0,1,6.81
True,20,32,3,2,1,9.6
True,20,34,2,3,1,9.58
True,20,24,0,5,1,9.77
True,20,28,1,3,1,9.28
True,20,13,4,2,1,9.88
True,14,206,9,2,1,-9.63
True,14,12,3,3,1,6.89
True,18,17,4,2,1,8.75
True,20,12,4,1,1,9.89
True,17,37,4,1,1,7.33
True,20,23,9,2,1,9.69
True,16,45,3,3,2,7.56
True,19,38,2,4,0,9.13
True,18,29,3,3,1,8.63
True,19,36,5,0,1,9.15
True,19,10,2,2,1,9.41
True,20,15,3,2,0,9.86
True,20,41,4,1,0,8.07
True,20,15,0,4,0,9.86
True,20,10,3,2,1,9.91
True,16,21,6,2,1,7.8
True,19,44,5,3,0,8.98
True,20,33,1,6,2,9.68
True,20,24,7,1,1,9.77
True,14,24,2,4,1,6.77
True,20,24,4,3,1,9.68
True,14,19,6,1,1,6.82
True,17,37,3,2,2,7.96
True,20,18,2,2,1,9.74
