VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,20,43,4,0,3,9.57
True,13,11,6,0,0,6.39
True,20,12,4,0,1,9.88
True,16,29,5,0,2,7.71
True,17,77,9,0,3,7.73
True,20,131,6,0,3,8.69
True,20,118,6,0,1,8.82
True,17,104,7,0,1,7.46
True,20,64,4,0,0,7.85
True,16,51,4,0,3,7.49
True,12,13,6,0,2,5.87
True,17,16,5,0,3,8.34
True,9,123,8,0,3,3.27
True,16,106,3,0,2,6.94
True,19,73,6,0,2,8.77
True,20,8,4,0,1,8.41
True,10,38,6,0,3,4.62
True,16,59,7,0,0,7.41
True,20,36,3,0,1,8.13
True,4,25,7,0,2,1.75
True,20,123,5,0,2,8.77
True,15,77,4,0,2,6.73
True,20,66,6,0,1,9.34
True,17,67,5,0,1,7.83
True,17,13,5,0,1,8.37
True,13,17,3,0,4,6.33
True,15,84,4,0,5,6.66
True,9,151,10,0,1,2.99
True,20,8,4,0,0,8.41
True,19,12,4,0,0,9.38
True,15,28,7,0,2,7.22
True,20,9,3,0,2,9.91
True,20,14,4,0,1,9.86
True,20,17,5,0,1,9.83
True,20,53,4,0,4,9.47
True,20,50,6,0,2,9.5
True,12,126,8,0,1,3.23
True,20,116,5,0,2,8.84
True,16,95,5,0,5,7.05
True,14,50,11,0,2,4.99
True,14,31,5,0,1,6.69
True,20,67,6,0,4,9.33
True,20,88,5,0,3,9.12
True,20,132,5,0,1,8.68
True,16,23,6,0,2,7.77
True,14,51,5,0,1,6.49
True,9,40,5,0,3,4.1
True,15,25,5,0,0,7.25
True,20,51,4,0,3,9.49
True,20,131,5,0,3,8.69
True,20,15,4,0,3,9.85
True,20,113,9,0,2,8.87
True,14,32,5,0,2,6.68
True,14,7,4,0,1,5.42
True,20,54,6,0,3,9.46
True,20,53,4,0,3,9.47
True,8,81,9,0,3,3.19
True,17,80,4,0,5,7.7
True,11,35,8,0,1,5.15
True,14,51,6,0,1,6.49
True,20,78,4,0,5,9.22
True,19,28,3,0,3,9.22
True,20,34,4,0,5,9.66
True,14,71,6,0,4,6.29
True,14,54,6,0,2,6.46
True,20,84,6,0,4,9.16
True,17,114,4,0,1,7.36
True,17,65,5,0,2,7.85
True,19,22,4,0,1,7.77
True,10,33,4,0,3,4.67
True,19,84,6,0,3,7.15
True,14,47,6,0,2,6.53
True,20,74,5,0,3,9.26
True,20,121,4,0,2,7.28
True,16,48,4,0,6,7.52
True,20,114,6,0,5,8.86
True,19,73,5,0,2,8.77
True,20,33,5,0,3,8.16
True,17,124,8,0,2,7.26
True,15,85,4,0,2,6.65
True,20,104,5,0,2,8.96
True,14,47,4,0,7,6.53
True,14,18,6,0,1,6.82
True,14,23,5,0,1,6.77
True,18,92,6,0,1,8.08
True,7,100,6,0,4,2.5
True,15,108,5,0,3,6.42
True,16,27,5,0,0,7.73
True,15,70,5,0,3,5.29
True,20,37,3,0,4,9.63
True,16,46,9,0,0,7.54
True,20,10,5,0,0,9.9
True,20,150,4,0,1,8.5
True,15,11,4,0,1,7.39
True,20,31,8,0,2,9.69
True,20,44,6,0,2,9.56
True,15,118,6,0,2,4.81
True,16,65,6,0,5,7.35
True,7,62,5,0,5,2.88
True,17,72,6,0,2,7.78
True,15,73,4,0,4,6.77
True,19,55,5,0,2,8.95
True,16,98,6,0,3,7.02
True,7,7,6,0,0,3.43
True,15,106,5,0,1,6.44
True,16,71,6,0,4,7.29
True,16,38,5,0,1,7.62
True,14,33,5,0,2,6.67
True,17,143,6,0,6,7.07
True,11,21,5,0,3,5.29
True,20,53,5,0,3,9.47
True,20,29,5,0,2,9.71
True,20,9,4,0,2,9.91
True,14,126,5,0,5,5.74
True,20,97,5,0,2,7.52
True,20,50,8,0,1,9.5
True,20,113,4,0,5,8.87
True,20,23,4,0,3,9.77
True,20,27,4,0,2,6.71
True,17,105,6,0,2,7.45
True,16,59,4,0,1,7.41
True,16,119,6,0,5,6.81
True,20,43,4,0,6,8.06
True,20,34,5,0,2,8.15
True,13,43,5,0,0,6.07
True,20,102,6,0,1,8.98
True,9,9,7,0,1,4.41
True,20,106,4,0,0,8.94
True,16,140,5,0,4,5.09
True,20,44,8,0,1,9.56
True,15,51,5,0,2,6.99
True,20,18,5,0,1,8.31
True,13,45,3,0,3,6.05
True,20,33,4,0,3,9.67
True,16,7,4,0,1,7.93
True,16,142,5,0,2,6.58
True,16,41,7,0,2,7.59
True,20,68,6,0,5,9.32
True,14,50,8,0,4,6.5
True,20,7,3,0,2,9.93
True,20,50,5,0,3,9.5
True,16,53,5,0,3,5.96
True,16,38,5,0,0,7.62
True,11,85,7,0,2,4.65
True,11,95,6,0,1,4.55
True,19,93,8,0,1,8.57
True,20,22,4,0,4,8.27
True,15,17,4,0,1,7.33
True,20,14,3,0,2,9.86
True,20,49,4,0,0,8.
True,16,56,6,0,3,7.44
True,20,125,6,0,3,8.75
True,12,52,4,0,2,3.97
True,20,43,7,0,1,9.57
True,20,11,4,0,2,9.89
True,20,80,4,0,4,9.2
True,9,78,5,0,1,2.21
True,20,39,3,0,4,9.61
True,20,26,6,0,4,9.74
True,19,25,3,0,3,9.25
True,8,18,8,0,0,2.31
True,16,91,6,0,4,7.09
True,20,66,7,0,2,9.34
True,16,38,5,0,2,7.62
True,19,20,4,0,3,9.3
True,15,100,5,0,2,4.99
True,20,32,4,0,2,9.68
False,0,16,3,0,0,-1.66
True,17,78,5,0,2,7.72
True,9,18,4,0,4,4.32
True,20,41,7,0,2,9.59
True,14,93,3,0,4,4.56
True,14,42,7,0,4,6.58
True,15,30,5,0,1,7.2
True,11,14,4,0,1,5.36
True,19,111,7,0,4,5.37
True,20,138,6,0,2,8.62
True,11,51,6,0,4,4.99
True,7,43,7,0,1,3.07
True,20,67,5,0,2,9.33
True,7,34,5,0,2,3.16
True,18,128,6,0,2,7.72
True,20,93,5,0,3,9.07
True,15,38,6,0,3,7.12
True,20,79,5,0,4,9.21
True,20,29,3,0,3,8.2
True,16,5,5,0,0,6.44
True,15,96,5,0,4,6.54
True,20,6,4,0,1,9.94
True,20,112,5,0,2,8.88
True,20,35,4,0,4,8.14
True,20,116,5,0,1,8.84
True,20,15,4,0,1,9.85
True,7,11,4,0,1,1.88
True,9,95,10,0,3,2.04
True,20,93,6,0,2,9.07
True,16,32,5,0,2,7.68
True,20,45,4,0,4,9.55
True,19,41,6,0,2,9.09
True,20,73,5,0,1,9.27
True,20,66,5,0,1,9.34
True,20,133,5,0,2,8.67
True,16,25,6,0,1,7.75
True,20,9,5,0,2,8.4
True,20,85,4,0,1,9.15
True,12,63,6,0,6,5.37
True,8,127,8,0,4,1.22
True,10,49,10,0,1,4.51
True,20,82,6,0,4,9.18
True,14,16,4,0,2,6.84
True,17,26,4,0,0,5.22
True,18,18,4,0,2,8.82
True,15,53,7,0,6,5.46
True,16,64,4,0,3,5.85
True,12,12,4,0,0,5.88
True,20,68,5,0,4,9.32
True,20,58,6,0,1,9.42
True,20,112,9,0,2,7.37
True,20,35,7,0,3,8.14
True,20,26,8,0,0,9.74
True,20,57,4,0,2,9.43
True,13,83,7,0,5,5.67
True,20,84,5,0,5,9.16
True,19,139,5,0,2,8.11
True,20,18,4,0,2,9.82
True,15,133,6,0,0,6.17
True,13,38,8,0,1,6.12
True,19,67,8,0,0,8.83
True,14,145,6,0,2,1.02
True,10,43,7,0,2,4.57
True,20,24,3,0,2,9.76
True,18,37,7,0,2,8.63
True,15,49,6,0,3,7.01
True,19,5,4,0,0,9.45
True,20,7,5,0,0,9.93
True,20,123,5,0,1,8.77
True,20,12,3,0,3,9.88
True,16,50,6,0,1,7.5
True,20,77,5,0,2,9.23
True,13,31,4,0,1,4.68
True,15,35,5,0,1,7.15
True,19,69,5,0,3,8.81
True,20,54,6,0,2,9.46
True,13,58,6,0,2,5.92
True,9,18,5,0,3,4.32
True,18,57,4,0,3,8.43
True,14,18,4,0,3,6.82
True,14,89,7,0,3,6.11
True,19,92,5,0,3,8.58
True,20,70,3,0,2,9.3
True,11,89,4,0,1,4.61
True,13,106,5,0,2,5.44
True,20,22,4,0,1,8.27
True,20,106,5,0,4,8.94
True,20,4,4,0,0,9.96
True,20,18,7,0,0,9.82
True,8,57,7,0,2,3.43
True,20,13,5,0,0,9.87
True,18,14,5,0,1,7.35
True,20,22,4,0,1,9.78
True,14,55,5,0,0,6.45
True,17,82,6,0,3,7.68
True,20,19,5,0,2,9.81
True,17,25,4,0,2,8.25
True,20,84,5,0,3,9.16
True,17,8,5,0,0,8.42
True,20,81,5,0,0,9.19
True,18,81,5,0,1,8.19
True,14,76,6,0,3,6.24
True,14,69,6,0,1,6.31
True,16,48,11,0,3,7.52
True,8,14,5,0,2,3.86
True,19,27,7,0,4,9.23
True,16,50,5,0,1,4.48
True,16,120,8,0,4,5.29
True,16,38,5,0,2,7.62
True,20,23,4,0,1,9.77
True,8,26,5,0,2,0.72
True,15,85,7,0,3,6.65
True,20,17,4,0,2,9.83
True,20,55,5,0,2,9.45
True,18,54,6,0,0,8.46
True,20,65,5,0,1,9.35
True,20,112,6,0,1,8.88
True,11,55,6,0,2,4.95
True,20,22,4,0,1,9.78
True,15,107,7,0,3,6.43
True,14,49,7,0,1,6.51
True,14,16,6,0,0,6.84
True,20,66,7,0,4,9.34
True,20,19,8,0,2,9.81
True,15,52,6,0,3,6.98
True,20,25,5,0,2,9.75
True,20,115,5,0,3,8.85
True,20,51,5,0,5,9.49
True,16,70,4,0,2,7.3
True,18,25,7,0,1,8.75
True,15,47,6,0,3,5.52
True,15,98,5,0,1,3.5
True,20,119,7,0,5,8.81
True,20,20,4,0,1,9.8
True,13,19,4,0,2,4.8
True,8,122,4,0,5,2.78
True,20,21,5,0,2,8.28
True,19,33,4,0,1,7.66
True,19,26,6,0,2,9.24
True,17,28,4,0,3,6.71
True,14,95,9,0,0,4.54
True,20,17,5,0,2,9.83
True,20,17,5,0,3,9.83
True,20,119,4,0,2,8.81
True,12,100,5,0,3,5
True,15,112,7,0,4,6.38
True,17,142,7,0,4,7.08
True,13,41,5,0,0,4.58
True,9,10,5,0,1,4.4
True,13,24,9,0,1,6.26
True,20,76,4,0,1,9.24
True,20,87,8,0,1,7.62
True,20,5,4,0,1,9.95
True,20,58,5,0,2,9.42
True,15,12,4,0,1,7.38
True,20,67,5,0,4,7.82
True,20,132,5,0,3,8.68
True,16,149,8,0,2,6.51
True,12,58,10,0,2,5.42
True,19,119,4,0,1,8.31
True,14,6,6,0,0,6.94
True,15,116,5,0,6,4.83
True,20,9,3,0,2,9.91
True,20,7,3,0,2,9.93
True,18,14,5,0,0,8.86
True,20,51,7,0,1,9.49
True,13,47,6,0,3,6.03
True,20,22,4,0,4,9.78
True,20,13,5,0,0,8.36
True,20,28,5,0,2,9.72
True,20,25,4,0,0,9.75
True,20,54,5,0,5,9.46
True,17,66,7,0,5,7.84
True,16,73,6,0,3,7.27
True,14,51,6,0,4,6.49
True,18,28,5,0,0,7.21
True,20,67,6,0,0,9.33
True,20,4,3,0,1,8.45
True,20,72,4,0,2,9.28
True,20,27,3,0,1,9.73
True,20,50,5,0,2,9.5
True,16,89,3,0,4,7.11
True,20,86,6,0,2,7.63
True,14,43,5,0,2,6.57
True,14,138,6,0,3,5.62
True,16,67,6,0,4,5.82
True,20,8,4,0,0,9.92
True,20,50,5,0,1,9.5
True,14,76,5,0,5,6.24
True,20,41,4,0,0,9.59
True,16,19,6,0,1,7.81
True,13,8,5,0,1,6.42
True,20,62,4,0,5,9.38
True,18,41,6,0,4,7.08
True,20,148,6,0,3,8.52
True,14,57,6,0,0,6.43
True,20,23,4,0,2,9.77
True,20,13,4,0,0,6.85
True,20,81,5,0,3,9.19
True,20,81,5,0,3,7.68
True,20,41,6,0,3,9.59
True,19,29,5,0,1,7.7
True,19,97,5,0,4,8.53
True,18,139,7,0,2,7.61
True,15,52,5,0,2,6.98
True,20,106,5,0,1,8.94
True,20,17,8,0,2,8.32
