VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,15,43,5,0,1,7.08
True,20,20,5,0,1,9.81
True,20,34,4,0,1,9.67
True,15,20,8,0,1,7.31
True,19,28,4,0,2,9.05
True,20,16,5,0,4,9.85
True,18,28,3,1,1,8.55
True,20,25,4,0,1,9.76
True,20,39,6,0,0,9.62
True,20,49,5,0,0,8.98
True,14,26,8,0,2,6.75
True,16,37,5,0,1,7.64
True,20,9,5,0,1,9.92
False,0,17,4,0,0,-0.17
True,14,27,7,0,2,6.74
True,14,19,5,0,1,6.82
True,20,36,7,0,4,9.65
True,20,12,6,0,1,9.89
True,20,13,5,0,0,9.88
True,14,52,11,0,1,5.41
True,20,14,4,0,1,9.87
True,16,26,5,0,0,7.66
True,20,41,8,0,1,9.33
True,20,20,4,0,0,9.81
True,20,16,5,0,2,9.85
True,20,31,7,0,0,9.61
True,20,48,5,0,0,9.53
True,20,24,6,0,2,9.77
True,19,26,5,0,1,9.25
True,15,19,5,0,1,7.32
True,20,15,5,0,1,9.86
True,20,13,4,0,0,9.88
True,20,9,6,0,0,9.92
True,12,18,5,0,1,5.38
True,20,57,5,0,0,9.44
True,16,43,5,0,1,7.58
True,20,12,4,0,2,9.89
True,17,32,6,0,1,8.19
True,12,20,4,0,1,5.81
True,20,30,5,0,0,9.62
True,16,18,7,0,1,7.83
True,17,25,6,0,1,8.26
True,20,17,6,0,1,9.84
True,20,15,4,0,0,9.86
True,4,22,10,0,1,1.79
True,20,18,5,0,0,9.83
True,20,25,4,0,0,8.86
True,20,23,4,0,0,9.78
True,16,21,6,0,1,7.8
True,13,48,5,0,1,5.94
True,20,30,6,0,0,9.71
True,20,36,6,0,1,8.66
True,20,17,4,0,0,9.84
True,20,22,5,0,1,9.79
True,20,18,5,0,0,9.83
True,14,45,4,0,1,6.56
True,19,29,9,0,2,9.22
True,15,22,5,0,1,6.93
True,13,12,6,0,1,6.39
True,20,6,4,0,0,9.95
True,17,26,4,0,1,8.25
True,11,64,7,0,1,4.51
True,20,22,4,0,0,9.79
True,15,36,4,0,2,6.97
True,16,6,5,0,1,7.95
True,15,38,9,0,1,6.95
True,20,30,8,0,0,9.71
True,20,46,7,0,2,9.46
True,20,36,5,0,1,9.65
True,20,26,4,0,0,9.75
True,16,53,15,0,1,7.48
True,16,16,7,0,1,7.85
True,20,29,6,0,1,9.72
True,16,33,5,0,3,7.68
True,20,19,4,0,1,9.82
True,14,21,7,0,1,6.8
True,17,36,6,0,0,8.15
True,20,34,7,0,3,9.67
True,20,28,5,0,1,9.73
True,20,23,7,0,2,9.78
True,17,29,5,0,1,8.22
True,17,10,5,0,1,8.41
True,20,14,6,0,0,9.87
True,11,96,5,0,2,4.46
True,19,20,5,0,1,9.31
True,11,26,5,0,2,5.25
True,20,8,4,0,0,9.93
True,19,21,3,0,1,9.3
False,0,15,5,0,1,-0.15
True,15,13,5,0,1,7.29
True,20,19,4,0,0,9.82
True,16,14,4,0,1,7.87
True,16,33,7,0,2,7.68
True,20,18,5,0,1,9.83
True,12,18,9,0,1,5.83
True,3,5,4,0,1,1.46
True,19,20,5,0,1,9.31
True,12,15,5,0,1,5.77
True,20,80,5,0,0,5.16
True,20,44,4,0,3,9.39
True,20,8,5,0,0,9.93
True,1,33,7,0,1,0.18
True,20,38,7,0,1,9.63
True,20,18,5,0,0,9.83
True,13,38,4,0,1,6.13
True,11,9,4,0,2,5.42
True,20,16,5,0,2,9.85
True,20,20,4,0,0,9.81
True,16,14,8,0,1,7.87
True,20,18,6,0,2,9.83
True,20,35,4,0,2,9.66
True,19,16,4,0,1,9.35
True,20,32,5,0,0,9.69
True,20,30,5,0,0,9.71
True,20,33,5,0,1,9.68
True,20,9,5,0,0,9.92
True,7,17,8,0,1,3.34
True,16,15,5,0,2,7.86
True,16,7,4,0,1,7.94
True,20,12,4,0,0,9.89
True,20,41,10,0,0,9.33
True,15,28,8,0,1,7.23
True,20,39,6,1,3,9.53
True,20,28,5,0,1,9.73
True,20,16,6,0,2,9.85
True,20,15,4,1,1,9.86
True,16,11,5,0,1,7.9
True,20,11,5,0,0,9.9
True,1,39,6,0,1,0.12
True,20,19,6,0,1,9.82
True,11,22,5,0,1,5.29
True,20,15,7,0,0,9.86
True,15,84,5,0,1,2.08
True,20,24,6,0,1,9.77
True,10,22,7,0,1,4.79
True,20,13,3,0,1,9.88
True,20,11,4,0,0,9.9
True,18,42,8,0,3,8.59
True,17,30,7,1,2,8.21
True,17,23,6,0,0,8.28
True,17,10,6,0,1,8.41
True,16,19,6,0,1,7.82
True,8,19,6,0,2,3.82
True,14,32,8,0,2,6.69
True,20,41,5,0,1,9.6
True,13,13,5,0,0,6.11
True,14,7,6,0,1,6.94
True,11,34,6,0,1,5.17
True,20,31,5,0,0,9.7
True,18,34,4,0,0,8.67
True,20,38,6,0,1,9.63
True,18,11,9,0,1,8.9
True,20,22,5,0,1,9.79
True,20,13,5,0,0,9.88
True,20,39,7,0,2,9.62
True,13,16,6,0,1,6.35
True,20,32,7,0,0,9.69
True,20,37,5,0,1,9.64
True,11,12,5,0,2,5.39
True,20,13,4,0,1,9.88
True,11,21,7,0,1,5.3
True,13,12,8,0,1,6.39
True,20,24,4,0,1,9.77
True,7,29,7,0,1,3.22
True,20,12,5,0,1,9.89
True,20,14,5,0,1,9.87
True,20,12,5,0,0,9.89
True,20,38,5,0,0,8.73
True,20,25,5,0,0,9.76
True,19,10,4,0,1,9.41
True,15,47,9,1,1,7.04
True,20,26,5,0,0,9.75
True,9,29,9,0,1,4.22
True,14,15,4,0,1,6.86
True,5,26,11,0,1,2.25
True,13,5,4,0,1,6.46
True,20,22,4,0,1,9.79
True,20,13,4,0,0,9.88
True,20,52,5,0,0,7.15
True,15,31,6,0,3,7.2
True,20,23,5,0,0,9.78
True,17,10,5,0,1,8.41
True,16,33,4,0,1,7.68
True,17,43,8,0,1,8.08
True,19,21,7,0,2,9.3
True,9,27,8,0,1,4.24
True,20,25,5,0,1,9.76
True,20,33,6,0,1,9.68
True,20,25,5,0,1,9.76
True,20,13,4,0,1,9.88
True,15,19,8,0,1,7.32
True,20,29,5,0,0,9.72
True,19,8,5,0,1,9.43
True,16,53,4,0,1,6.58
True,13,13,5,0,1,6.38
True,8,37,6,0,1,2.74
True,20,27,11,0,2,9.74
True,12,14,7,0,1,5.87
True,20,21,4,0,1,9.8
True,20,24,5,0,1,9.77
True,20,41,5,0,0,7.71
True,15,41,5,0,1,6.83
True,18,18,8,0,2,8.83
True,8,13,5,0,1,3.88
True,20,12,4,0,0,9.89
True,16,28,5,0,2,7.73
True,20,19,5,0,2,9.82
True,17,14,4,0,1,8.37
True,9,7,4,0,1,4.44
True,20,9,5,0,0,9.92
True,11,84,6,0,1,2.24
True,15,54,7,0,2,6.97
True,7,24,10,0,1,3.27
True,20,33,5,0,1,9.68
True,20,50,6,0,1,9.51
True,20,30,8,0,0,9.71
True,20,24,4,1,1,9.77
True,20,42,5,0,0,9.5
True,20,19,4,0,0,9.82
True,20,37,7,0,2,9.55
True,15,32,6,0,1,7.19
True,20,17,4,1,2,9.75
True,20,41,5,0,1,9.6
True,19,16,6,0,1,9.35
True,20,26,5,0,4,9.66
True,4,42,8,0,3,1.59
True,20,22,6,0,1,9.79
True,14,28,8,0,1,6.73
True,20,12,5,0,1,9.89
True,20,25,7,0,1,9.76
True,14,28,8,0,1,5.65
True,17,37,4,0,1,8.14
True,16,12,5,0,1,7.89
True,18,29,6,0,1,8.72
True,20,6,5,0,0,9.95
True,20,26,6,0,1,9.75
True,20,26,5,0,1,9.75
True,17,26,8,0,3,8.16
True,12,37,5,0,1,5.64
True,20,32,4,1,1,9.69
False,0,17,11,0,1,-0.17
True,15,13,4,0,1,7.38
True,20,24,7,0,0,9.77
True,20,14,5,0,0,9.87
True,20,20,4,0,0,9.81
True,14,10,7,0,1,6.91
True,20,12,4,0,0,9.89
True,20,17,7,0,2,9.84
True,10,40,6,0,2,4.61
True,20,29,5,0,2,9.72
True,20,35,5,0,1,9.66
True,11,19,6,0,2,5.32
True,20,14,4,0,0,9.87
True,20,13,6,0,0,9.88
True,19,18,5,0,1,9.33
True,17,24,8,0,2,8.27
True,20,21,4,0,1,9.8
True,13,10,4,0,0,6.41
True,14,36,5,0,2,6.56
True,13,39,9,0,1,5.4
True,20,14,6,0,1,9.87
True,15,25,6,0,1,7.26
True,20,27,5,0,0,9.74
True,19,30,5,0,2,9.21
True,19,33,5,0,1,9.18
True,20,30,5,0,0,9.44
True,17,43,5,0,1,7.99
True,20,38,6,0,1,9.54
True,19,46,6,0,3,9.05
True,20,14,6,0,2,9.87
True,20,12,6,0,1,9.89
True,20,24,4,0,2,9.77
True,20,39,5,0,1,9.53
True,20,14,4,0,1,9.87
True,19,24,5,0,2,9.27
True,10,24,4,0,1,4.68
True,20,30,5,0,2,9.71
True,16,28,7,0,1,7.73
True,20,45,6,0,0,9.56
True,17,17,10,0,1,8.34
True,20,21,9,0,2,9.71
True,20,38,5,0,0,9.63
True,16,21,8,0,1,7.71
True,15,13,5,0,0,7.38
True,9,29,6,0,1,4.22
True,20,33,5,0,0,9.68
True,18,14,4,0,0,8.87
True,20,10,4,0,1,9.91
True,7,20,7,0,1,3.31
True,20,32,4,0,1,9.69
True,19,7,7,0,1,9.44
True,20,21,4,0,1,9.8
True,13,9,6,0,0,6.42
True,20,29,6,0,1,9.72
True,20,43,4,0,2,9.58
True,20,61,5,1,1,9.4
True,20,20,6,0,0,9.81
True,16,18,6,0,2,7.83
True,20,37,4,1,1,9.64
True,20,60,5,0,0,9.41
True,19,86,7,0,2,8.56
True,20,24,4,1,1,9.77
True,10,19,5,0,1,4.82
True,15,16,5,0,1,7.35
True,11,25,4,0,1,4.9
True,15,25,5,0,1,7.17
True,15,18,8,0,1,7.33
True,18,6,5,0,1,8.95
True,20,17,5,0,1,9.84
True,18,22,5,0,1,8.79
True,16,25,5,0,1,7.76
True,20,27,4,0,0,9.65
True,20,17,4,0,0,9.84
True,20,11,7,0,0,9.9
True,20,37,5,0,1,9.64
True,20,42,4,0,1,9.59
True,20,42,7,0,1,9.59
True,20,37,5,0,1,9.64
True,20,28,5,0,1,9.73
True,20,30,7,0,0,9.71
True,20,27,3,0,3,9.74
True,20,37,7,0,0,9.64
True,14,34,8,0,1,6.67
True,13,7,5,0,1,6.44
True,20,32,11,0,1,9.6
True,12,18,5,0,1,5.83
True,20,16,4,0,0,9.85
True,20,22,5,0,0,9.79
True,20,11,4,0,0,9.9
True,19,30,9,0,1,9.21
True,19,48,4,0,2,8.85
True,20,15,4,0,0,9.86
True,19,16,4,0,1,9.35
True,16,13,6,0,1,7.88
True,20,37,8,0,2,9.64
True,20,22,6,0,2,9.79
True,20,12,5,0,0,9.89
True,20,49,7,0,2,9.52
True,14,9,5,1,1,6.92
True,19,29,5,0,1,9.22
True,20,29,7,0,0,9.72
True,20,34,5,0,0,9.67
True,18,47,5,0,1,8.54
True,16,10,4,0,1,7.91
True,18,29,6,0,1,8.63
True,20,53,6,0,0,9.48
True,14,45,5,0,2,6.56
True,7,5,4,0,1,3.46
True,19,16,5,0,1,9.35
True,20,43,5,0,0,9.58
True,16,38,6,0,3,7.63
True,18,51,5,1,1,8.41
True,13,35,4,0,1,6.16
True,15,30,9,0,1,7.21
True,20,93,5,0,0,2.78
True,20,8,5,0,0,9.93
True,20,47,6,0,2,9.54
True,20,27,4,0,1,9.74
True,20,40,4,1,1,9.52
True,17,27,6,0,1,8.24
True,13,32,6,0,1,6.19
True,20,33,5,0,0,9.68
True,20,25,5,0,0,9.76
True,20,16,4,0,0,9.85
True,13,28,10,0,1,6.14
True,20,35,6,0,1,9.66
True,20,44,10,0,1,9.39
True,20,75,5,0,0,9.26
True,20,25,4,0,0,9.76
True,14,35,3,0,1,6.66
True,20,16,4,0,1,9.85
True,16,32,7,0,3,7.69
True,20,46,5,0,0,9.55
False,0,18,8,0,1,-0.18
True,15,28,5,0,1,7.23
True,15,23,5,0,2,7.28
True,15,30,4,0,1,7.03
True,20,18,6,0,0,9.83
True,20,28,4,0,0,9.73
True,16,116,5,0,1,1.63
True,18,24,5,0,1,8.77
True,16,37,6,0,1,7.64
True,16,32,10,0,0,7.69
True,6,40,7,0,2,2.61
True,20,23,8,0,1,9.78
True,20,25,5,0,2,9.76
True,20,17,6,0,0,9.84
True,10,37,5,0,1,4.64
True,11,29,5,0,3,5.22
True,17,34,5,0,1,8.17
True,18,16,5,0,1,8.85
True,20,24,5,0,1,9.14
True,20,10,5,0,1,9.91
True,20,16,5,1,1,9.85
True,20,23,6,0,1,9.78
True,20,44,5,0,0,8.76
True,20,23,4,0,1,9.78
True,20,23,5,0,0,9.78
True,15,19,5,0,1,7.32
True,16,24,5,0,1,7.77
True,15,28,6,0,1,7.23
True,10,19,7,0,1,4.82
True,20,24,4,0,0,9.77
True,17,25,4,0,1,8.26
True,20,45,7,0,1,9.56
True,20,47,5,0,3,9.54
True,20,23,5,0,1,9.78
True,18,45,7,0,3,8.47
True,13,17,6,0,2,6.34
True,20,19,5,0,1,9.82
True,20,27,4,0,0,9.65
True,16,32,5,0,2,7.69
True,15,28,3,0,0,7.23
True,19,20,8,0,1,9.31
True,12,58,10,0,1,5.43
True,20,27,5,0,2,9.74
True,9,14,5,0,1,4.37
True,19,14,5,0,1,9.37
True,20,11,7,0,0,9.9
True,19,22,4,0,0,9.29
True,20,17,5,0,1,9.75
True,20,23,7,0,2,9.78
True,16,34,5,0,1,7.67
True,20,29,5,0,1,9.72
True,20,30,5,0,1,9.62
True,20,15,5,0,1,9.86
True,18,21,8,0,1,8.8
True,19,30,4,0,3,9.21
True,18,9,4,0,1,8.92
True,12,46,10,0,2,5.55
True,18,7,4,0,0,8.94
True,18,14,5,0,0,8.87
True,19,23,5,0,1,9.28
True,20,41,5,0,0,9.6
True,17,46,6,0,2,8.05
True,20,29,6,0,0,9.72
True,20,31,6,0,0,9.7
True,20,28,4,0,0,9.73
True,19,42,6,0,0,9.09
True,20,15,4,0,0,9.86
True,20,85,4,1,2,8.98
True,20,19,6,0,1,9.82
True,13,14,7,0,1,6.37
True,19,53,5,0,3,8.98
True,20,30,4,0,0,9.71
True,18,20,5,0,1,8.81
True,20,26,4,0,0,9.75
True,12,17,5,0,1,5.84
True,20,18,4,0,0,9.83
True,20,18,5,0,0,9.83
True,20,49,4,0,0,9.43
True,5,23,5,0,1,2.28
True,20,14,5,0,1,9.87
True,19,35,6,0,2,9.16
True,19,26,5,0,1,9.25
True,16,54,10,0,4,7.29
True,20,14,5,0,0,9.87
True,20,8,5,0,0,9.93
True,20,26,3,0,1,9.75
True,15,26,5,0,1,7.25
True,20,40,4,0,0,9.61
True,9,26,10,0,1,3.98
True,4,30,6,0,1,1.71
True,20,35,8,0,0,9.57
True,20,37,3,0,0,9.55
True,16,7,3,0,1,7.94
True,20,16,7,0,1,9.85
True,20,20,4,0,0,9.81
True,20,17,5,0,0,9.84
True,20,40,6,0,2,9.61
True,20,15,4,0,0,9.86
True,17,31,4,1,1,8.2
True,20,12,8,0,1,9.89
True,20,29,9,0,2,9.72
True,12,32,5,0,1,5.69
True,13,39,10,0,1,6.12
True,20,17,4,0,1,9.84
True,18,40,5,0,0,8.61
True,20,11,4,0,0,9.9
True,20,18,5,0,1,9.83
True,18,21,5,0,0,8.8
True,16,14,6,0,1,7.87
True,20,22,5,0,0,9.79
True,20,38,5,0,0,9.63
True,20,42,5,0,1,9.5
True,20,14,4,0,0,9.87
True,20,10,6,0,1,9.91
True,20,48,5,0,0,7.37
True,20,25,8,0,2,9.76
True,11,7,5,0,0,5.44
True,20,35,5,0,1,9.66
True,20,33,5,0,1,9.68
True,20,46,4,2,2,9.55
True,19,30,4,0,3,9.21
True,20,26,4,0,1,9.75
True,20,37,6,0,0,9.64
True,19,22,5,0,1,9.29
True,12,26,5,0,1,5.75
True,20,22,4,0,0,9.79
True,20,15,4,0,0,9.86
False,0,13,9,0,1,-0.13
True,20,24,5,0,3,9.77
True,20,28,5,0,1,9.73
True,20,23,5,0,1,9.69
True,20,26,5,0,1,9.75
True,16,26,6,0,2,7.57
True,20,24,5,0,0,9.77
True,20,33,5,0,1,9.68
True,20,27,6,0,1,9.74
True,17,16,5,0,1,8.35
True,19,29,5,0,1,9.13
True,1,36,4,0,2,0.15
True,17,25,5,0,1,7.99
True,20,24,4,0,1,9.77
True,20,32,5,0,1,9.69
True,20,10,4,0,0,9.91
True,19,37,5,0,0,9.14
True,20,18,4,0,0,9.83
True,17,15,7,0,1,8.36
True,20,19,4,0,1,9.82
True,20,22,4,0,1,9.79
True,17,30,7,0,4,8.21
True,20,32,6,0,1,9.69
True,16,162,6,0,1,-4.77
True,19,38,8,0,2,8.95
True,20,23,5,0,1,9.78
True,12,17,5,0,1,5.84
True,16,39,6,0,1,7.44
True,14,14,5,0,2,6.87
True,17,38,6,0,3,8.13
True,18,22,6,0,1,8.79
True,20,26,4,0,1,9.75
True,20,18,4,0,0,9.83
