VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,8,77,9,0,2,0.21
True,9,4,4,0,1,1.44
True,11,7,4,0,1,-2.12
False,0,130,3,0,3,-1.3
False,0,33,0,0,3,-9.39
True,7,8,8,0,1,1.91
True,2,140,6,0,2,-1.91
False,0,12,6,0,1,-10.69
True,6,14,5,0,2,-3.18
True,8,84,8,0,1,-11.95
True,3,110,4,0,1,0.4
False,0,91,7,0,3,-2.42
False,0,131,3,0,3,-4.33
False,0,142,4,0,2,-8.97
True,7,146,5,0,3,-2.49
True,7,118,3,0,2,-9.76
False,0,74,6,0,3,-9.8
True,11,129,5,0,2,-19.95
True,1,5,5,0,0,-2.57
True,9,8,8,0,1,-7.66
False,0,142,0,0,1,-1.42
True,20,73,5,0,1,6.25
False,0,72,3,0,3,-0.72
False,0,93,5,0,1,-0.93
False,0,58,2,0,4,-3.6
False,0,30,5,0,4,-3.32
True,9,7,6,0,0,-1.61
False,0,6,6,0,1,-21.2
False,0,128,1,0,2,-2.79
True,9,139,6,0,3,-1.42
True,6,70,6,0,2,-0.72
False,0,8,8,0,0,-6.12
False,0,93,3,0,3,-26.6
True,9,66,9,0,3,2.33
True,19,3,3,0,1,6.45
False,0,136,2,0,1,-13.44
True,11,9,6,0,1,3.9
True,20,8,5,0,2,-6.69
False,0,74,4,0,2,-0.74
True,10,118,6,0,1,-6.75
False,0,89,3,0,3,-8.44
True,15,7,5,0,1,7.43
False,0,145,4,0,1,-9.01
True,3,8,7,0,0,0.41
True,13,55,5,0,1,-2.13
False,0,69,0,0,2,-2.71
True,8,45,5,0,2,-16.65
False,0,83,4,0,4,-19.01
False,0,13,5,0,2,-0.13
False,0,47,0,0,1,-14.61
True,18,87,4,0,2,7.12
False,0,30,5,0,3,-7.37
True,6,10,8,0,0,-38.51
True,1,11,6,0,2,-1.63
True,17,10,5,0,2,-2.71
True,16,31,5,0,2,5.67
True,8,88,5,0,2,0.09
True,8,6,4,0,1,-3.13
True,16,36,5,0,2,6.63
True,7,4,4,0,0,3.46
True,3,86,7,0,3,-3.4
True,15,97,4,0,3,0.47
True,9,40,7,0,2,4.1
True,11,51,6,0,3,3.98
False,0,71,6,0,2,-4.75
True,6,67,6,0,3,-18.88
True,8,16,5,0,2,-0.2
True,8,12,5,0,1,-1.17
False,0,5,4,0,0,-7.12
True,8,15,5,0,1,1.83
False,0,72,3,0,2,-4.76
True,2,23,5,0,2,-3.27
True,13,25,6,0,3,-0.82
True,1,60,6,0,1,-0.1
True,4,15,7,0,3,0.84
True,7,17,5,0,2,-14.85
False,0,10,4,0,1,-1.11
True,9,5,5,0,0,-1.61
True,3,40,5,0,3,-2.94
False,0,79,2,0,2,-2.81
True,11,16,5,0,2,1.3
False,0,15,7,0,2,-8.23
False,0,48,1,0,3,-1.49
True,3,29,7,0,1,-10.91
True,19,8,4,0,2,6.39
False,0,33,6,0,1,-3.36
True,7,9,5,0,1,-42.04
False,0,13,6,0,2,-0.13
True,8,8,6,0,0,3.92
False,0,51,0,0,4,-4.55
True,8,9,4,0,2,-4.17
False,0,23,5,0,2,-3.26
True,10,17,4,0,2,2.81
True,11,16,6,0,0,4.33
True,12,22,8,0,0,-8.36
True,15,6,4,0,2,-6.7
True,2,22,6,0,1,-0.23
False,0,66,5,0,4,-47.12
True,10,13,7,0,0,3.86
True,6,95,5,0,1,-1.99
False,0,90,0,0,4,-12.01
True,12,6,5,0,2,4.93
False,0,73,0,0,2,-3.76
False,0,72,1,0,2,-0.72
True,7,21,7,0,1,-38.12
True,2,36,6,0,2,-0.37
True,14,4,4,0,1,1.91
True,20,7,4,0,2,5.89
True,8,5,5,0,0,-2.11
True,7,21,6,0,1,-4.79
True,14,34,4,0,4,6.66
True,11,10,6,0,1,-8.74
False,0,44,5,0,2,-5.49
True,1,7,7,0,1,-12.7
True,17,14,7,0,1,-1.74
False,0,8,6,0,1,-4.12
True,20,7,4,0,2,7.91
True,17,6,3,0,1,6.42
True,14,16,3,0,4,-2.25
True,4,75,8,0,3,-1.78
True,2,96,5,0,3,0.04
False,0,65,5,0,3,-1.66
False,0,59,0,0,1,-43.01
False,0,100,5,0,1,-3.02
False,0,14,6,0,1,-3.17
True,13,19,5,0,1,6.31
False,0,46,3,0,4,-7.53
True,19,10,4,0,3,3.34
True,14,86,4,0,1,0.08
True,3,5,5,0,0,-15.73
True,6,5,5,0,1,2.95
False,0,29,0,0,2,-3.32
False,0,89,0,0,1,-5.94
False,0,86,3,0,3,-3.89
True,8,20,6,0,2,-6.3
True,12,15,5,0,0,2.82
True,4,12,8,0,0,0.87
False,0,73,4,0,2,-4.77
True,11,9,6,0,1,-5.7
True,2,8,5,0,1,-9.18
False,0,83,3,0,3,-0.83
False,0,6,6,0,1,-8.14
True,4,5,5,0,0,1.95
True,6,33,5,0,3,2.67
False,0,71,1,0,2,-6.77
