VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,79,5,0,3,-4.02
False,0,3,3,0,0,-3.4
False,0,6,2,0,1,-8.44
True,7,131,0,5,1,2.2
True,20,38,0,20,0,-0.38
False,0,7,7,0,0,-1.62
False,0,143,4,0,1,-3.3
True,6,12,4,1,1,-8.77
False,0,13,4,0,1,-6.4
False,0,84,2,1,4,-16.05
False,0,109,2,1,1,-1.09
True,7,196,2,3,5,-48.2
True,17,134,1,7,2,3.37
True,5,145,0,5,2,-7.06
False,0,148,4,0,1,-6.38
False,0,165,3,2,0,-18.95
True,1,79,5,1,1,-10.39
False,0,131,3,1,1,-27.67
False,0,178,4,0,0,-20.64
False,0,7,7,0,0,-13.75
True,20,146,0,6,0,8.55
False,0,74,0,0,1,-4.42
True,12,78,0,5,1,5.23
True,3,101,5,2,1,0.41
True,20,63,1,3,3,6.03
True,1,32,5,0,2,-3.14
False,0,6,5,0,1,-7.56
True,12,7,6,0,1,-16.51
True,17,130,1,9,2,5.59
False,0,147,0,3,3,-6.22
False,0,72,2,1,1,-3.91
True,4,8,6,0,1,-5.04
True,11,96,0,10,2,-23.82
False,0,71,6,0,4,-2.58
False,0,2,2,0,1,-3.3
True,15,143,2,3,1,-7.38
False,0,8,3,0,1,-1.67
False,0,8,2,0,2,-17.89
True,10,82,2,3,4,3.56
False,0,126,3,1,2,-14.64
True,12,93,0,5,2,-4.28
False,0,6,4,0,1,-0.06
True,14,150,3,1,3,-0.93
False,0,85,5,0,2,-8.93
False,0,54,2,0,1,-10.45
True,20,74,0,5,0,7.13
False,0,45,4,1,1,-25.15
True,12,89,3,3,2,-17.46
True,10,13,6,0,1,4.88
True,20,47,0,6,0,-6.23
False,0,92,0,2,1,-2.35
True,8,30,5,0,2,-4.02
False,0,9,5,0,3,-48
False,0,12,5,0,1,-3.61
False,0,9,3,0,1,-15.9
False,0,32,0,1,3,-2.48
False,0,89,2,2,1,-4.29
False,0,5,3,0,0,-8.07
False,0,41,1,1,2,-1.86
False,0,3,3,0,0,-0.03
False,0,91,4,0,1,-5.16
False,0,101,1,3,1,-7.5
False,0,43,3,1,4,-0.43
False,0,53,2,0,1,-1.58
True,1,83,5,1,1,-5.02
False,0,68,6,2,1,-23.77
False,0,15,3,1,1,-4.85
False,0,11,4,0,1,-5.83
True,11,5,4,0,0,-2.07
False,0,15,4,0,1,-2.33
True,7,74,2,2,0,-1.76
False,0,22,4,1,0,-4.61
False,0,28,3,0,1,-8.34
False,0,63,5,0,1,-0.63
False,0,14,5,0,2,-1.51
False,0,19,4,0,0,-22.61
True,5,11,4,0,1,1.16
False,0,4,4,0,0,-12.52
False,0,41,4,0,1,-5.13
True,13,82,1,4,1,-4.97
False,0,17,2,0,1,-15.16
True,1,17,6,0,2,-9.91
True,20,55,0,10,1,8.26
False,0,84,4,2,2,-37.85
False,0,57,2,0,1,-8.52
True,7,35,6,0,1,-0.11
False,0,8,3,0,1,-51.99
True,2,15,6,0,1,0.86
False,0,7,4,0,1,-0.07
True,20,53,0,4,0,4.37
False,0,8,3,0,1,-8.59
True,4,32,5,0,1,-2.25
False,0,16,3,1,1,-2.34
False,0,16,4,1,1,-1.29
False,0,22,5,1,3,-16.16
False,0,7,2,0,1,-17.2
False,0,21,4,0,1,-1.39
True,9,67,3,2,3,-47.35
False,0,12,4,0,2,-1.16
False,0,103,2,1,1,-6.11
True,20,92,0,5,0,-2.98
False,0,6,3,0,2,-1.62
True,20,93,0,4,1,5.57
True,20,76,0,5,1,9.25
False,0,22,4,0,2,-46
False,0,35,4,0,1,-1.41
False,0,3,3,0,1,-5.75
False,0,6,2,0,0,-4.32
False,0,4,4,0,0,-7.27
False,0,20,4,0,2,-9.86
False,0,35,3,1,1,-0.35
False,0,10,3,0,2,-92.89
True,2,46,4,0,1,-6.39
False,0,6,6,0,0,-14.95
False,0,13,3,0,2,-11
True,11,9,6,0,1,0.46
False,0,7,2,0,1,-2.41
False,0,18,2,0,0,-3.24
False,0,16,2,0,0,-10.23
False,0,78,4,0,3,-4.11
False,0,97,4,2,1,-0.97
True,1,70,4,1,1,-1.33
True,20,64,0,6,0,-53.82
True,3,101,4,4,1,-1.69
True,7,16,4,0,3,-1.8
False,0,21,3,0,1,-0.3
True,20,47,0,4,3,1.16
False,0,9,3,0,0,-6.55
False,0,93,0,1,1,-8.03
False,0,4,4,0,0,-42.11
False,0,4,3,0,0,-0.04
True,20,32,0,10,1,6.29
True,20,93,0,4,0,3.84
True,13,96,1,6,2,2.23
False,0,19,5,0,1,-11.21
False,0,14,4,0,1,-4.24
False,0,12,6,0,2,-1.27
True,12,76,2,3,2,1.02
False,0,8,5,0,1,-12.14
False,0,7,4,0,1,-11.64
True,17,88,1,5,1,7.45
True,3,7,6,0,1,-8.58
False,0,4,3,0,1,-0.04
False,0,36,3,1,1,-0.45
True,18,77,1,4,0,0.46
False,0,10,2,0,1,-2.61
False,0,42,4,4,2,-0.42
True,17,95,2,3,3,-10.94
False,0,11,2,0,1,-18.42
False,0,56,4,0,2,-1.57
False,0,131,1,0,1,-8.41
False,0,59,1,1,1,-0.59
False,0,44,0,0,0,-0.44
True,2,8,5,0,0,-0.11
False,0,28,3,0,1,-4.61
False,0,28,3,1,2,-3.44
False,0,95,0,0,3,-6.77
False,0,39,1,0,4,-2.75
False,0,91,1,2,2,-1.09
False,0,83,2,1,1,-4.97
False,0,20,3,0,0,-2.72
False,0,101,2,1,3,-1.1
True,2,84,7,0,1,0.17
False,0,43,2,0,2,-0.61
False,0,10,3,0,2,-1.13
False,0,9,5,0,1,-7.14
False,0,18,2,0,1,-3.41
