VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,11,34,4,0,3,5.16
False,0,16,5,0,0,-0.16
False,0,6,6,0,1,-0.05999999
False,0,12,4,0,1,-0.12
True,11,87,6,0,2,4.630001
False,0,50,4,0,1,-0.4999998
False,0,9,4,0,1,-0.08999999
True,7,23,6,0,2,3.27
True,8,18,6,0,1,3.82
False,0,28,6,0,3,-0.28
True,11,14,4,0,3,5.36
False,0,138,4,0,2,-1.379999
True,3,46,7,0,0,1.04
False,0,20,4,0,3,-0.2
True,9,9,5,0,2,4.41
False,0,30,6,0,1,-0.3
False,0,35,5,0,4,-0.3499999
True,10,9,4,0,2,4.91
True,2,29,6,0,1,0.71
True,10,5,4,0,0,4.95
False,0,8,6,0,1,-0.07999999
False,0,67,5,0,1,-0.6699997
True,15,11,4,0,2,7.39
True,2,28,6,0,3,0.72
True,18,14,4,0,3,8.86
True,18,5,3,0,1,8.95
True,13,10,6,0,1,6.4
True,7,86,6,0,2,2.640001
False,0,5,4,0,0,-0.05
True,17,9,5,0,1,8.41
True,9,10,7,0,1,4.4
False,0,27,4,0,3,-0.27
True,10,13,4,0,1,4.87
True,2,18,7,0,2,0.82
True,2,24,8,0,2,-0.6899987
True,16,8,5,0,0,7.92
True,9,22,5,0,3,4.28
False,0,32,4,0,2,-0.32
True,12,28,5,0,3,5.72
False,0,64,3,0,2,-0.6399997
True,10,27,6,0,0,4.73
True,10,17,5,0,0,4.83
False,0,20,3,0,0,-0.2
True,4,37,5,0,3,1.63
True,11,14,6,0,3,5.36
False,0,18,6,0,2,-0.18
True,3,12,5,0,0,1.38
True,3,26,8,0,1,1.24
True,3,5,5,0,0,1.45
True,2,33,6,0,4,0.6700001
True,13,7,5,0,1,6.43
True,6,19,7,0,1,2.81
True,11,11,6,0,0,5.39
False,0,43,3,0,3,-0.4299999
True,6,10,7,0,1,2.9
False,0,16,4,0,3,-0.16
True,6,21,8,0,2,2.79
True,12,6,5,0,1,5.94
True,3,20,4,0,0,1.3
True,2,11,5,0,2,0.89
False,0,40,4,0,2,-0.3999999
True,3,75,6,0,1,0.7500004
True,7,31,5,0,2,3.19
True,17,8,4,0,1,8.42
True,10,107,5,0,1,3.930001
True,18,7,4,0,2,8.93
True,18,18,4,0,2,8.82
False,0,32,4,0,1,-0.32
True,8,12,6,0,2,3.88
False,0,33,4,0,1,-0.33
False,0,10,6,0,1,-0.09999999
True,5,13,4,0,1,2.37
True,11,16,5,0,2,5.34
True,3,34,7,0,3,1.16
True,7,18,5,0,2,3.32
False,0,14,5,0,1,-0.14
True,5,11,8,0,1,2.39
True,11,16,9,0,1,5.34
False,0,27,4,0,2,-0.27
True,7,11,5,0,1,3.39
True,6,40,6,0,3,2.6
False,0,23,3,0,3,-0.23
True,9,7,6,0,0,4.43
False,0,54,5,0,1,-0.5399998
False,0,52,5,0,1,-0.5199998
False,0,10,6,0,2,-0.09999999
True,11,8,6,0,0,5.42
True,6,33,5,0,2,2.67
False,0,41,7,0,3,-0.4099999
False,0,31,4,0,1,-0.31
False,0,31,5,0,4,-0.31
False,0,35,4,0,1,-0.3499999
False,0,90,3,0,2,-0.8999994
True,3,51,6,0,2,0.9900002
True,9,9,5,0,1,4.41
True,2,19,10,0,2,0.81
True,19,8,5,0,2,9.42
False,0,49,4,0,1,-0.4899998
False,0,42,4,0,3,-0.4199999
True,7,28,6,0,1,3.22
True,7,17,5,0,1,3.33
False,0,4,4,0,0,-0.04
False,0,35,5,0,1,-0.3499999
True,5,27,5,0,1,2.23
True,2,20,7,0,3,0.8
True,3,31,6,0,3,1.19
False,0,52,5,0,2,-0.5199998
False,0,38,5,0,1,-0.3799999
False,0,15,5,0,1,-0.15
True,4,10,6,0,2,1.9
False,0,83,5,0,1,-0.8299995
True,9,10,8,0,1,4.4
True,1,29,7,0,1,-2.719997
True,3,56,6,0,1,0.9400002
True,16,5,4,0,1,7.95
False,0,21,6,0,2,-0.21
True,11,5,4,0,1,5.45
True,6,20,5,0,1,2.8
True,9,13,8,0,1,4.37
False,0,39,4,0,3,-0.3899999
False,0,59,4,0,2,-0.5899997
True,5,9,6,0,1,2.41
False,0,11,5,0,2,-0.11
False,0,29,6,0,0,-0.29
True,7,13,5,0,2,3.37
False,0,32,5,0,2,-0.32
False,0,102,4,0,1,-1.019999
True,6,15,7,0,1,2.85
False,0,124,9,0,3,-1.239999
True,3,11,7,0,1,1.39
False,0,16,6,0,2,-0.16
True,7,27,5,0,1,3.23
True,2,33,5,0,4,0.6700001
False,0,23,6,0,3,-0.23
True,10,11,5,0,2,4.89
False,0,66,5,0,1,-0.6599997
False,0,21,6,0,1,-0.21
False,0,64,4,0,2,-0.6399997
False,0,9,6,0,1,-0.08999999
True,9,24,4,0,5,4.26
False,0,12,4,0,1,-0.12
True,9,5,5,0,0,4.45
True,5,17,5,0,2,2.33
True,1,19,6,0,2,0.31
False,0,15,5,0,2,-0.15
True,3,13,7,0,1,1.37
False,0,19,4,0,2,-0.19
False,0,10,5,0,2,-0.09999999
True,10,27,5,0,4,4.73
True,1,50,6,0,2,2.086163E-07
True,9,32,6,0,2,4.18
False,0,40,6,0,2,-0.3999999
False,0,40,6,0,1,-0.3999999
True,10,13,7,0,1,4.87
False,0,38,5,0,3,-0.3799999
False,0,39,5,0,1,-0.3899999
True,7,12,6,0,0,3.38
False,0,22,4,0,3,-0.22
True,16,13,3,0,2,7.87
True,12,12,8,0,2,5.88
False,0,22,7,0,1,-0.22
True,8,21,5,0,2,3.79
True,1,33,6,0,4,0.17
True,8,7,7,0,1,3.93
True,8,35,5,0,1,3.65
True,8,8,5,0,0,3.92
True,11,59,6,0,1,4.91
False,0,46,2,0,3,-0.4599998
False,0,34,3,0,1,-0.3399999
True,11,9,4,0,2,5.41
True,11,13,6,0,2,5.37
True,4,24,6,0,3,1.76
True,10,10,6,0,0,4.9
True,5,10,8,0,1,2.4
True,3,19,5,0,1,1.31
True,11,44,6,0,2,5.06
True,10,17,9,0,1,4.83
False,0,49,5,0,1,-0.4899998
False,0,21,5,0,0,-0.21
True,6,22,4,0,1,2.78
False,0,4,4,0,0,-0.04
False,0,20,4,0,2,-0.2
True,12,5,5,0,0,5.95
True,4,15,8,0,1,1.85
True,14,6,5,0,1,6.94
True,6,23,6,0,1,2.77
True,7,23,5,0,1,3.27
False,0,14,6,0,1,-0.14
False,0,62,4,0,5,-0.6199997
True,10,8,4,0,1,4.92
False,0,13,6,0,1,-0.13
True,15,7,4,0,1,7.43
True,8,13,4,0,2,3.87
False,0,15,3,0,1,-0.15
False,0,34,4,0,2,-0.3399999
True,2,27,7,0,3,0.73
False,0,20,5,0,2,-0.2
True,8,15,5,0,1,3.85
True,1,40,5,0,3,0.1000001
False,0,25,6,0,2,-0.25
False,0,13,6,0,0,-0.13
False,0,37,8,0,1,-0.3699999
True,11,13,5,0,0,5.37
True,10,23,4,0,2,4.77
True,2,17,8,0,1,0.83
True,6,28,6,0,3,2.72
True,8,22,5,0,1,3.78
False,0,16,8,0,1,-0.16
False,0,8,6,0,1,-0.07999999
True,6,4,4,0,0,2.96
True,7,38,5,0,3,3.12
False,0,14,6,0,1,-0.14
False,0,15,5,0,1,-0.15
True,5,13,6,0,1,2.37
True,15,19,4,0,1,7.31
False,0,31,4,0,2,-0.31
False,0,22,4,0,1,-0.22
True,11,15,6,0,2,5.35
False,0,16,6,0,1,-0.16
False,0,13,12,0,1,-0.13
True,6,61,6,0,1,2.39
False,0,19,3,0,1,-0.19
False,0,12,7,0,1,-0.12
False,0,69,4,0,4,-0.6899996
True,4,9,6,0,0,1.91
False,0,8,4,0,1,-0.07999999
True,6,45,5,0,3,2.55
False,0,68,5,0,2,-0.6799996
False,0,24,5,0,1,-0.24
True,11,11,4,0,3,5.39
True,8,34,5,0,1,3.66
True,8,9,5,0,1,3.91
True,7,17,7,0,1,3.33
False,0,67,5,0,4,-0.6699997
False,0,25,5,0,3,-0.25
False,0,103,4,0,1,-1.029999
False,0,28,5,0,3,-0.28
False,0,24,5,0,1,-0.24
True,11,37,6,0,3,5.13
True,2,36,6,0,0,0.6400001
True,5,41,6,0,0,2.09
True,4,15,4,0,3,1.85
False,0,7,5,0,0,-0.06999999
False,0,16,5,0,1,-0.16
True,8,38,6,0,1,3.62
False,0,37,5,0,4,-0.3699999
True,8,6,5,0,1,3.94
False,0,10,5,0,1,-0.09999999
False,0,43,4,0,4,-0.4299999
True,5,43,5,0,1,2.07
True,7,9,5,0,1,3.41
False,0,24,3,0,2,-0.24
True,3,27,5,0,2,1.23
False,0,46,5,0,4,-0.4599998
False,0,12,7,0,1,-0.12
False,0,70,4,0,3,-0.6999996
False,0,46,4,0,3,-0.4599998
True,1,23,6,0,3,0.27
False,0,12,5,0,1,-0.12
False,0,12,7,0,1,-0.12
False,0,31,4,0,2,-0.31
False,0,72,4,0,2,-0.7199996
False,0,15,4,0,2,-0.15
True,1,18,5,0,1,0.32
False,0,10,4,0,1,-0.09999999
False,0,59,5,0,4,-0.5899997
False,0,49,5,0,2,-0.4899998
True,5,16,7,0,1,2.34
False,0,24,5,0,2,-0.24
False,0,86,4,0,3,-0.8599995
False,0,45,2,0,1,-0.4499998
False,0,12,5,0,1,-0.12
True,18,10,3,0,2,8.9
False,0,11,3,0,0,-0.11
True,7,43,5,0,2,3.07
True,4,5,5,0,0,1.95
True,3,66,7,0,2,0.8400003
False,0,17,8,0,1,-1.619999
True,5,16,7,0,2,2.34
True,5,27,5,0,1,2.23
False,0,58,5,0,4,-0.5799997
True,5,9,5,0,1,2.41
True,10,39,5,0,1,4.61
False,0,18,5,0,1,-0.18
False,0,26,5,0,4,-0.26
False,0,31,7,0,2,-0.31
True,16,7,3,0,1,7.93
True,6,20,5,0,1,2.8
True,11,21,5,0,1,5.24
True,20,16,5,0,2,9.84
True,11,22,6,0,1,3.890001
True,3,25,6,0,1,1.25
True,9,43,6,0,2,4.07
False,0,11,6,0,1,-0.11
True,1,18,6,0,1,0.32
False,0,24,6,0,2,-0.24
False,0,14,4,0,1,-0.14
True,9,11,5,0,2,4.39
False,0,67,5,0,0,-0.6699997
False,0,28,6,0,5,-0.28
True,9,24,5,0,1,4.26
False,0,18,5,0,1,-0.18
True,5,10,6,0,1,2.4
True,3,11,7,0,1,1.39
False,0,6,4,0,0,-0.05999999
False,0,20,5,0,1,-0.2
True,4,50,7,0,2,1.5
False,0,40,4,0,3,-0.3999999
True,9,15,5,0,0,4.35
True,7,36,5,0,2,3.14
