VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,34,3,0,0,-0.3399999
True,3,17,5,0,1,1.25
True,6,6,6,0,0,2.95
True,5,12,4,0,1,2.39
False,0,87,2,0,1,-0.9599994
True,8,52,5,0,1,3.4
True,14,9,5,0,1,6.92
False,0,25,5,0,1,-0.4299998
False,0,21,5,0,1,-0.5699999
True,4,28,6,0,1,1.73
False,0,13,3,0,1,-0.13
True,7,143,4,0,1,2.080001
False,0,49,3,1,4,-0.4899998
True,8,21,4,0,1,3.8
False,0,8,4,0,0,-0.07999999
True,2,30,5,0,2,0.71
True,2,35,5,0,1,0.6600001
False,0,8,3,0,1,-0.07999999
False,0,29,5,0,1,-0.29
False,0,4,3,0,0,-0.04
True,6,8,6,0,1,2.93
True,5,71,5,1,1,1.710001
False,0,10,3,0,1,-0.09999999
False,0,27,5,0,1,-0.27
False,0,13,3,0,1,-0.13
False,0,4,2,0,0,-0.04
False,0,9,5,0,1,-0.08999999
False,0,86,5,0,1,-0.8599995
True,9,5,4,0,1,4.46
False,0,8,4,0,1,-0.07999999
False,0,9,5,1,3,-0.08999999
True,10,27,3,0,2,4.74
False,0,13,3,0,1,-0.22
False,0,20,7,1,1,-0.3799999
False,0,24,6,0,3,-1.849999
False,0,8,4,0,0,-0.17
False,0,24,4,0,1,-0.5099999
True,7,32,4,1,1,3.19
False,0,29,3,0,3,-0.4699998
True,10,66,4,0,1,4.170001
False,0,26,4,0,1,-0.26
False,0,16,3,0,2,-0.16
True,13,20,3,0,1,6.31
False,0,37,5,0,1,-0.4599998
False,0,13,4,0,2,-0.13
True,6,19,6,0,1,2.82
False,0,13,4,1,1,-0.3099999
False,0,26,6,0,4,-0.26
False,0,4,4,0,0,-0.04
False,0,35,4,0,2,-0.3499999
False,0,6,4,0,1,-0.05999999
False,0,18,4,0,3,-0.18
False,0,10,4,0,1,-0.09999999
True,12,44,3,0,1,5.57
False,0,9,6,0,0,-0.08999999
True,2,16,4,0,1,0.85
False,0,20,4,0,3,-0.2
False,0,6,3,0,2,-0.05999999
False,0,19,3,1,0,-0.19
False,0,10,4,0,1,-0.09999999
True,5,42,4,0,2,1.81
False,0,74,5,1,1,-0.7399996
False,0,33,3,1,1,-0.33
False,0,11,3,0,1,-0.3799999
False,0,107,3,0,1,-1.069999
False,0,7,3,0,1,-0.16
False,0,18,3,0,1,-0.18
True,9,34,2,2,1,4.17
False,0,11,5,0,1,-0.11
True,5,33,4,0,1,2.18
True,8,10,5,0,2,3.91
False,0,12,3,0,1,-0.12
False,0,15,4,0,1,-0.15
False,0,33,5,0,3,-0.33
False,0,18,4,0,1,-0.18
True,2,14,5,0,1,0.87
False,0,11,7,0,1,-0.11
False,0,15,5,0,4,-0.15
True,1,38,4,0,1,-0.8599997
False,0,10,4,0,0,-0.09999999
False,0,47,4,0,1,-1.1
True,8,24,4,2,1,3.68
False,0,6,5,0,0,-0.05999999
True,3,55,5,1,1,0.9600002
True,20,54,3,1,4,9.38
True,1,10,6,0,1,0.41
False,0,7,4,0,1,-0.06999999
False,0,32,3,0,1,-0.32
True,10,41,5,0,3,4.6
True,14,33,4,1,1,6.59
True,3,31,5,0,1,1.2
True,17,35,4,2,1,8.16
True,9,94,4,1,1,3.480001
False,0,51,4,1,3,-0.5099998
False,0,8,4,0,1,-0.07999999
False,0,18,9,0,1,-0.18
False,0,7,4,0,1,-0.06999999
True,6,53,5,1,1,2.3
True,2,45,5,1,1,0.2900003
False,0,28,6,1,1,-0.28
False,0,17,4,1,1,-0.17
True,11,4,4,0,1,5.47
True,2,35,6,0,1,0.6600001
False,0,26,4,0,1,-0.26
False,0,20,5,0,1,-0.2
False,0,64,5,0,1,-3.609998
True,1,54,5,0,1,-0.02999978
True,4,38,5,0,1,1.63
True,3,16,5,0,1,1.26
False,0,9,5,0,1,-0.08999999
True,11,90,5,0,3,4.610001
False,0,9,5,0,0,-0.08999999
False,0,28,5,0,3,-3.389997
False,0,55,5,0,1,-0.5499998
False,0,4,3,0,0,-0.04
True,5,22,6,0,1,2.29
False,0,4,3,0,1,-0.04
False,0,20,4,0,1,-0.29
False,0,12,6,0,2,-0.12
True,8,40,4,1,1,3.61
True,6,77,4,1,1,1.430001
False,0,8,5,0,1,-0.07999999
True,1,11,6,0,1,0.4
True,20,34,4,1,4,9.22
False,0,60,4,0,1,-4.920004
True,8,32,5,0,1,3.69
True,15,102,4,0,2,6.490001
False,0,14,6,0,1,-0.14
True,5,124,6,0,5,1.270001
False,0,10,5,0,2,-0.09999999
True,6,16,5,0,2,2.85
False,0,28,4,0,1,-0.4599999
False,0,32,4,0,0,-0.32
True,2,24,6,0,1,0.77
False,0,10,4,0,1,-0.09999999
True,2,68,5,0,1,0.3300003
True,2,21,5,0,2,0.8
True,8,69,3,3,2,3.140001
True,6,9,6,0,1,2.92
False,0,23,3,0,1,-0.23
True,7,13,5,1,1,3.38
False,0,4,4,0,0,-0.04
False,0,16,4,0,1,-0.16
False,0,18,5,0,1,-0.18
True,5,16,5,0,1,2.35
False,0,12,5,0,2,-0.12
True,7,19,4,0,1,3.32
True,3,10,5,0,1,1.41
False,0,26,4,0,1,-0.26
False,0,49,6,0,1,-0.4899998
False,0,32,5,0,1,-0.32
True,5,41,5,0,2,2.1
True,1,40,6,0,1,0.1100001
False,0,12,5,1,3,-0.12
True,3,39,5,0,1,1.03
True,8,44,5,0,1,3.12
False,0,11,5,0,1,-0.11
True,13,24,3,1,2,6.18
False,0,12,2,0,1,-0.12
False,0,11,7,0,1,-0.11
True,7,22,5,0,6,3.29
False,0,20,4,0,1,-0.2
False,0,33,5,0,1,-0.33
False,0,6,5,0,1,-0.05999999
False,0,34,3,0,1,-0.3399999
False,0,7,4,0,0,-0.06999999
False,0,58,5,0,1,-0.5799997
True,13,47,3,2,1,6.04
True,6,36,3,2,1,2.65
False,0,8,3,0,0,-0.07999999
False,0,12,4,0,2,-0.12
False,0,26,4,0,3,-0.5299998
False,0,9,2,0,1,-0.08999999
False,0,9,7,0,1,-0.08999999
False,0,19,4,0,1,-0.19
False,0,46,4,1,1,-0.6399998
False,0,17,6,0,2,-0.17
True,1,49,5,0,1,0.0200002
True,1,21,5,0,1,0.3
False,0,22,3,0,0,-0.22
True,8,4,4,0,1,3.97
True,9,20,4,0,1,4.31
False,0,4,4,0,1,-0.04
False,0,14,6,1,2,-0.14
False,0,5,4,0,1,-0.05
