VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
False,0,31,3,0,1,-0.31
True,9,12,6,0,2,4.38
True,11,15,4,0,2,5.35
True,6,25,6,0,3,2.75
True,4,19,4,0,0,1.81
True,10,9,3,0,1,4.91
True,7,38,11,0,2,3.12
False,0,17,5,0,1,-0.17
True,8,22,4,0,1,3.78
True,3,20,6,0,3,1.3
False,0,15,4,0,1,-0.15
False,0,18,6,0,1,-0.18
True,4,24,8,0,2,1.76
True,11,13,4,0,1,5.37
True,2,22,5,0,1,0.78
True,18,7,6,0,2,8.93
False,0,8,6,0,1,-0.07999999
True,3,11,6,0,1,1.39
False,0,35,5,0,3,-0.3499999
True,4,18,5,0,2,1.82
True,14,10,4,0,2,6.9
True,16,14,4,0,1,7.86
True,6,34,6,0,3,2.66
True,9,20,5,0,1,4.3
False,0,6,5,0,1,-0.05999999
False,0,16,5,0,1,-0.16
False,0,18,4,0,2,-0.18
False,0,20,5,0,1,-0.2
True,11,5,4,0,1,5.45
False,0,35,8,0,0,-0.3499999
False,0,30,5,0,5,-0.3
True,7,12,5,0,1,3.38
False,0,28,3,0,3,-0.28
True,9,8,4,0,1,4.42
True,16,6,3,0,2,7.94
True,20,9,4,0,1,9.91
False,0,5,4,0,0,-0.05
True,6,33,8,0,3,2.67
True,14,7,5,0,1,6.93
False,0,42,5,0,1,-0.4199999
False,0,10,6,0,1,-0.09999999
True,19,14,4,0,3,9.36
True,9,10,6,0,0,4.4
False,0,12,7,0,1,-0.12
False,0,11,5,0,0,-0.11
True,1,17,6,0,2,0.33
False,0,17,4,0,2,-0.17
True,9,10,5,0,1,4.4
True,2,10,7,0,0,0.9
True,4,15,6,0,1,1.85
True,9,6,5,0,0,4.44
False,0,107,7,0,1,-1.069999
True,13,13,5,0,2,6.37
True,4,22,5,0,3,1.78
True,15,7,3,0,2,7.43
False,0,36,6,0,1,-0.3599999
False,0,8,5,0,0,-0.07999999
False,0,5,5,0,0,-0.05
True,5,25,7,0,2,2.25
True,6,23,5,0,3,2.77
False,0,10,5,0,1,-0.09999999
True,2,52,7,0,4,0.4800002
False,0,16,5,0,1,-0.16
True,13,19,4,0,3,6.31
True,11,33,5,0,1,5.17
True,15,15,4,0,2,7.35
True,5,47,6,0,2,2.03
False,0,6,5,0,1,-0.05999999
True,10,17,6,0,2,4.83
True,13,16,4,0,2,6.34
True,3,34,6,0,3,1.16
True,9,14,6,0,0,4.36
True,20,4,4,0,1,9.96
False,0,17,4,0,3,-0.17
True,15,17,5,0,3,7.33
True,14,13,6,0,3,6.87
False,0,11,4,0,2,-0.11
True,14,8,6,0,0,6.92
True,11,13,7,0,1,5.37
True,5,15,5,0,2,2.35
True,16,32,5,0,3,7.68
False,0,27,6,0,2,-0.27
False,0,18,5,0,1,-0.18
True,6,23,6,0,1,2.77
True,11,13,4,0,1,5.37
True,12,14,7,0,1,5.86
True,11,17,5,0,2,5.33
True,13,12,5,0,2,6.38
True,10,18,5,0,3,4.82
True,7,9,5,0,0,3.41
False,0,11,4,0,2,-0.11
True,10,25,5,0,4,4.75
True,6,12,5,0,1,2.88
True,15,5,4,0,1,7.45
False,0,10,3,0,1,-0.09999999
True,4,18,6,0,3,1.82
True,3,16,6,0,1,1.34
True,12,23,5,0,5,5.77
True,4,20,6,0,2,1.8
True,13,8,5,0,1,6.42
True,11,15,6,0,1,5.35
True,19,9,5,0,2,9.41
True,13,9,4,0,2,6.41
True,9,12,7,0,0,4.38
True,8,16,5,0,2,3.84
True,6,5,5,0,1,2.95
False,0,21,5,0,3,-0.21
True,3,9,7,0,2,1.41
False,0,4,4,0,0,-0.04
True,12,9,5,0,0,5.91
True,9,5,5,0,0,4.45
False,0,5,4,0,0,-0.05
True,3,8,5,0,0,1.42
