VITTORIA,HP,N MOSSE,N ATTACCHI MISCHIA,N ATTACCHI DISTANZA,N POZIONI,REWARD
True,18,34,3,0,1,8.4
False,0,11,5,0,1,-0.11
False,0,14,3,0,0,-0.14
False,0,24,6,0,1,-0.24
False,0,18,3,0,0,-0.18
False,0,8,2,0,0,-0.07999999
False,0,52,6,0,5,-1.78
True,3,19,5,0,1,1.32
False,0,148,3,0,1,-12.82003
False,0,22,5,0,1,-0.22
True,7,16,4,0,1,3.35
True,11,18,6,0,1,5.33
False,0,25,5,0,4,-0.25
False,0,14,2,0,1,-0.14
False,0,21,4,0,1,-0.21
False,0,6,4,0,2,-0.05999999
True,9,8,6,0,1,4.43
False,0,10,5,0,1,-0.09999999
True,1,40,5,0,1,-0.3399997
False,0,17,4,0,1,-0.17
False,0,9,3,0,1,-0.08999999
False,0,14,2,0,1,-0.14
False,0,35,5,0,1,-0.4399998
False,0,20,4,0,1,-0.2
True,8,6,5,0,1,3.95
True,8,16,5,0,1,3.85
True,5,19,4,0,1,2.23
True,6,20,5,0,1,2.81
False,0,4,3,0,0,-0.04
True,20,38,6,0,5,9.45
True,4,30,4,0,2,1.71
False,0,12,4,0,1,-0.12
True,12,30,4,0,1,5.71
False,0,7,3,0,1,-0.06999999
False,0,5,2,0,0,-0.05
False,0,8,2,0,1,-0.07999999
True,11,5,4,0,1,5.46
False,0,34,6,0,3,-0.3399999
False,0,6,4,0,1,-0.05999999
True,3,45,5,0,1,1.06
True,9,10,6,0,1,4.41
False,0,13,3,0,1,-0.13
False,0,10,5,0,1,-0.09999999
True,5,13,6,0,2,2.38
True,12,11,5,0,1,5.9
False,0,17,5,0,1,-0.17
True,5,18,4,0,1,2.24
False,0,9,4,0,1,-0.08999999
False,0,11,6,0,1,-0.11
False,0,15,5,0,1,-0.15
False,0,5,4,0,0,-0.05
True,7,115,5,0,2,2.360001
False,0,12,2,0,3,-0.12
False,0,21,4,0,1,-0.21
False,0,6,2,0,0,-0.05999999
True,2,39,5,0,3,0.6200001
True,9,8,4,0,2,4.43
True,3,5,4,0,2,1.46
False,0,24,6,0,1,-0.24
False,0,22,5,0,1,-0.22
True,5,10,5,0,1,2.41
False,0,53,4,0,2,-0.5299998
True,4,16,5,0,1,1.85
False,0,19,3,0,1,-0.19
False,0,37,4,0,1,-0.3699999
False,0,14,3,0,1,-0.14
False,0,49,5,0,1,-0.4899998
True,3,6,5,0,1,1.45
False,0,17,5,0,1,-0.17
False,0,17,3,0,1,-0.17
False,0,33,5,0,1,-0.33
False,0,13,3,0,2,-0.13
False,0,3,3,0,0,-0.03
True,8,17,4,0,1,3.84
False,0,16,3,0,2,-0.16
False,0,12,5,0,1,-0.12
True,15,13,4,0,1,7.38
False,0,7,4,0,2,-0.06999999
False,0,12,6,0,1,-0.12
False,0,14,4,0,1,-0.14
False,0,36,3,0,2,-0.3599999
True,3,27,6,0,1,1.24
True,1,18,5,0,1,0.33
False,0,22,3,0,2,-0.22
False,0,12,3,0,1,-0.12
False,0,14,4,0,3,-0.14
False,0,16,4,0,1,-0.16
False,0,12,4,0,1,-0.12
False,0,19,4,0,1,-0.19
False,0,8,3,0,1,-0.07999999
True,4,11,4,0,1,1.9
False,0,24,4,0,1,-0.24
False,0,11,5,0,1,-0.11
False,0,5,1,0,1,-0.05
True,10,10,3,0,1,4.91
False,0,18,5,0,1,-0.18
False,0,15,5,0,1,-0.15
False,0,24,3,0,2,-0.24
False,0,20,5,0,1,-0.2
False,0,7,4,0,1,-0.06999999
False,0,40,5,0,1,-2.649999
False,0,8,3,0,2,-0.07999999
False,0,8,3,0,1,-0.07999999
False,0,11,6,0,1,-0.11
False,0,16,4,0,1,-0.16
False,0,4,4,0,0,-0.04
True,4,21,5,0,1,1.8
False,0,8,6,0,1,-0.07999999
True,14,4,4,0,1,6.97
False,0,9,3,0,1,-0.08999999
False,0,4,4,0,0,-0.04
True,6,5,4,0,1,2.96
False,0,7,4,0,1,-0.06999999
False,0,29,3,0,1,-0.29
False,0,32,3,0,0,-0.5899998
False,0,17,6,0,3,-0.17
False,0,25,4,0,1,-0.25
False,0,7,4,0,1,-0.06999999
False,0,6,5,0,1,-0.05999999
False,0,13,4,0,1,-0.13
True,14,13,5,1,2,6.88
True,2,11,7,0,1,0.9
True,10,14,4,0,2,4.87
True,3,19,6,0,3,1.32
True,6,18,5,0,1,2.83
False,0,11,3,0,0,-0.11
True,3,15,6,0,1,1.36
True,7,21,5,0,2,3.3
True,2,8,8,0,0,0.93
False,0,11,4,0,3,-0.11
False,0,37,4,0,3,-0.4599999
True,1,20,5,0,1,0.31
False,0,19,4,0,1,-0.19
False,0,3,3,0,1,-0.03
False,0,14,4,0,1,-0.14
True,8,3,3,0,1,3.98
False,0,14,4,0,1,-0.14
False,0,10,5,0,1,-0.09999999
False,0,15,4,0,2,-0.2400001
True,9,45,4,0,1,3.88
False,0,22,4,0,1,-0.3099999
False,0,29,3,0,3,-0.9199997
True,8,10,6,0,1,3.91
True,2,15,5,0,1,0.86
False,0,8,4,0,3,-0.07999999
False,0,25,6,0,1,-0.25
False,0,5,3,0,0,-0.05
True,12,21,5,0,1,5.8
False,0,6,4,0,1,-0.05999999
False,0,17,5,0,1,-0.17
True,1,27,5,0,3,0.24
True,4,28,4,0,3,1.73
True,7,35,5,0,1,1.54
True,1,12,6,0,1,0.39
False,0,14,5,0,1,-0.14
True,13,7,3,0,1,6.44
True,1,42,4,0,2,0.09000013
False,0,3,2,0,1,-0.03
True,10,14,4,0,1,4.87
True,4,16,4,0,1,1.85
False,0,30,5,0,1,-0.3
False,0,7,4,0,0,-0.06999999
False,0,31,4,0,2,-2.11
False,0,27,10,0,1,-0.27
False,0,6,3,0,1,-0.05999999
False,0,11,9,0,1,-0.11
False,0,15,7,0,1,-0.15
True,14,3,3,0,1,6.98
True,9,16,5,0,1,4.35
False,0,7,7,0,1,-0.06999999
True,6,26,4,0,1,2.75
False,0,16,4,0,1,-0.16
True,1,72,6,0,1,-0.2099996
True,5,10,5,0,1,2.41
True,3,27,5,0,1,1.24
False,0,11,5,0,1,-0.11
True,4,25,5,0,1,1.76
False,0,12,4,0,1,-0.21
False,0,3,3,0,1,-0.03
True,4,12,7,0,1,1.89
True,5,14,4,0,1,2.37
True,5,16,4,0,1,2.35
False,0,15,3,0,2,-0.15
True,4,12,5,0,1,1.89
False,0,11,3,0,1,-0.11
False,0,28,5,0,3,-0.28
False,0,29,5,0,2,-0.29
False,0,9,3,0,0,-0.08999999
True,8,8,5,0,0,3.93
False,0,80,4,0,1,-5.300007
True,9,26,6,0,1,3.89
True,4,16,5,0,1,1.85
True,4,15,5,0,1,1.86
True,3,18,4,0,1,1.33
True,9,7,5,0,2,4.44
True,1,55,7,0,1,-0.03999978
